Recording,Participant,Timeline,TOI,Interval,Media,SV_rest,SV_Text,AOI,AOI_rest,AOI_sentence,Duration_of_interval,Start_of_interval,Last_key_press,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Last_AOI_viewed,AOI_at_interval_end,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Total_duration_of_Glances,Average_duration_of_Glances,Minimum_duration_of_Glances,Maximum_duration_of_Glances,Number_of_Glances,Time_to_first_Glance,Duration_of_first_Glance,Number_of_mouse_clicks,Time_to_first_mouse_click,Time_from_first_fixation_to_mouse_click,Number_of_mouse_clicks_and_releases,Time_to_first_mouse_click_and_release,Time_from_first_fixation_to_mouse_click_and_release,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Character_index,Word_index,Sentence_index,AOI_string,Text_unit_type,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations.1,Regression-path_duration,Re-reading_duration
Recording1,D5Y3UA,Version1,TOI_Text1,1,文章10_1,,SV_Text_画面1,物,,,47969,379640,,504,168.0,139.0,187.0,3,1008.0,139.0,"また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類","また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類",2.91594,504,168.0,139.0,187.0,3,1008.0,139.0,2.91594,504,168.0,139.0,187.0,3,1008.0,139.0,579,193.0,155.0,229.0,3,992.0,155.0,0,,,0,,,0,992.0,2246.0,45.73,44.31,3.0,1.0,1,物,Character,,0.0,0.0,0.0,,504.0,0.0,0.0
Recording1,D5Y3UA,Version1,TOI_Text1,1,文章10_1,,SV_Text_画面1,は,,,47969,379640,,157,157.0,157.0,157.0,1,459.0,157.0,"また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類","また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類",3.20617,157,157.0,157.0,157.0,1,459.0,157.0,3.20617,157,157.0,157.0,157.0,1,459.0,157.0,200,200.0,200.0,200.0,1,416.0,200.0,0,,,0,,,0,416.0,616.0,212.31,59.78,4.0,1.0,1,は,Character,,0.0,0.0,0.0,,157.0,0.0,0.0
Recording1,D5Y3UA,Version1,TOI_Text1,1,文章10_1,,SV_Text_画面1,、,,,47969,379640,,0,,,,0,,,"また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類","また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類",,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,5.0,1.0,1,、,Character,,0.0,0.0,0.0,,0.0,0.0,0.0
Recording1,D5Y3UA,Version1,TOI_Text1,1,文章10_1,,SV_Text_画面1,単,,,47969,379640,,629,315.0,224.0,405.0,2,1321.0,224.0,"また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類","また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類",2.88626,629,315.0,224.0,405.0,2,1321.0,224.0,2.88626,629,315.0,224.0,405.0,2,1321.0,224.0,662,331.0,242.0,420.0,2,1304.0,242.0,0,,,0,,,0,2246.0,1546.0,44.31,66.31,6.0,1.0,1,単,Character,,0.0,0.0,0.0,,629.0,0.0,0.0
Recording1,D5Y3UA,Version1,TOI_Text1,1,文章10_1,,SV_Text_画面1,細,,,47969,379640,,0,,,,0,,,"また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類","また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類",,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,7.0,1.0,1,細,Character,,0.0,0.0,0.0,,0.0,0.0,0.0
Recording1,D5Y3UA,Version1,TOI_Text1,1,文章10_1,,SV_Text_画面1,胞,,,47969,379640,,0,,,,0,,,"また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類","また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類",,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,8.0,1.0,1,胞,Character,,0.0,0.0,0.0,,0.0,0.0,0.0
Recording1,D5Y3UA,Version1,TOI_Text1,1,文章10_1,,SV_Text_画面1,ま,,,47969,379640,,0,,,,0,,,"また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類","また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類",,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,9.0,1.0,1,ま,Character,,0.0,0.0,0.0,,0.0,0.0,0.0
Recording1,D5Y3UA,Version1,TOI_Text1,1,文章10_1,,SV_Text_画面1,た,,,47969,379640,,235,235.0,235.0,235.0,1,2686.0,235.0,"また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類","また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類",2.9928,235,235.0,235.0,235.0,1,2686.0,235.0,2.9928,235,235.0,235.0,235.0,1,2686.0,235.0,256,256.0,256.0,256.0,1,2666.0,256.0,0,,,0,,,0,2666.0,2921.0,71.66,68.27,10.0,1.0,1,た,Character,,0.0,0.0,0.0,,235.0,0.0,0.0
Recording1,D5Y3UA,Version1,TOI_Text1,1,文章10_1,,SV_Text_画面1,は,,,47969,379640,,0,,,,0,,,"また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類","また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類",,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,11.0,1.0,1,は,Character,,0.0,0.0,0.0,,0.0,0.0,0.0
Recording1,D5Y3UA,Version1,TOI_Text1,1,文章10_1,,SV_Text_画面1,細,,,47969,379640,,0,,,,0,,,"また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類","また、微小な多細胞生物、すなわち微小動物相、一部の真菌類、一部の藻類も存在する。,類",,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,12.0,1.0,1,細,Character,,0.0,0.0,0.0,,0.0,0.0,0.0
