Recording,Participant,Timeline,TOI,Interval,Media,SV_rest,SV_Text,AOI,AOI_rest,AOI_sentence,Duration_of_interval,Start_of_interval,Last_key_press,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Last_AOI_viewed,AOI_at_interval_end,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Total_duration_of_Glances,Average_duration_of_Glances,Minimum_duration_of_Glances,Maximum_duration_of_Glances,Number_of_Glances,Time_to_first_Glance,Duration_of_first_Glance,Number_of_mouse_clicks,Time_to_first_mouse_click,Time_from_first_fixation_to_mouse_click,Number_of_mouse_clicks_and_releases,Time_to_first_mouse_click_and_release,Time_from_first_fixation_to_mouse_click_and_release,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Character_index,Word_index,Sentence_index,AOI_string,Text_unit_type,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations.1,Regression-path_duration,Re-reading_duration
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,と,,,52032,372143,Space,0,,,,0,,,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,5,1,1,と,Character,,0,0,0,,0,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,共,,,52032,372143,Space,234,234,234,234,1,1725,234,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,2.03901,234,234,234,234,1,1725,234,2.03901,234,234,234,234,1,1725,234,237,237,237,237,1,1722,237,0,,,0,,,0,1722,1959,31.51,31.63,6,1,1,共,Character,,0,0,0,,234,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,に,,,52032,372143,Space,0,,,,0,,,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,7,1,1,に,Character,,0,0,0,,0,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,日,,,52032,372143,Space,168,168,168,168,1,1966,168,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,2.10618,168,168,168,168,1,1966,168,2.10618,168,168,168,168,1,1966,168,175,175,175,175,1,1959,175,0,,,0,,,0,1959,2134,31.63,66.83,8,1,1,日,Character,,0,0,0,,168,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,本,,,52032,372143,Space,199,199,199,199,1,5912,199,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,2.22826,199,199,199,199,1,5912,199,2.22826,199,199,199,199,1,5912,199,236,236,236,236,1,5876,236,0,,,0,,,0,5876,6112,128.96,131.94,9,1,1,本,Character,,0,0,0,,199,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,の,,,52032,372143,Space,0,,,,0,,,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,10,1,1,の,Character,,0,0,0,,0,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,真,,,52032,372143,Space,206,206,206,206,1,2154,206,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,2.1582,206,206,206,206,1,2154,206,2.1582,206,206,206,206,1,2154,206,226,226,226,226,1,2134,226,0,,,0,,,0,2134,2360,66.83,34.98,11,1,1,真,Character,,0,0,0,,206,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,夏,,,52032,372143,Space,327,327,327,327,1,2366,327,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,2.19013,327,327,327,327,1,2366,327,2.19013,327,327,327,327,1,2366,327,333,333,333,333,1,2360,333,0,,,0,,,0,2360,2693,34.98,35.88,12,1,1,夏,Character,,0,0,0,,327,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,は,,,52032,372143,Space,0,,,,0,,,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,13,1,1,は,Character,,0,0,0,,0,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,始,,,52032,372143,Space,349,175,145,204,2,2703,204,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,2.2539,349,175,145,204,2,2703,204,2.2539,349,175,145,204,2,2703,204,375,187,161,214,2,2693,214,0,,,0,,,0,2693,2907,35.88,39.2,14,1,1,始,Character,,0,0,0,,349,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,ま,,,52032,372143,Space,1341,670,495,846,2,2917,495,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,2.25611,846,846,846,846,1,3732,846,2.2479,1341,670,495,846,2,2917,495,1359,680,504,855,2,2907,504,0,,,0,,,0,2907,4578,39.2,252.58,15,1,1,ま,Character,,0,0,0,,1341,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,る,,,52032,372143,Space,0,,,,0,,,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,16,1,1,る,Character,,0,0,0,,0,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,。,,,52032,372143,Space,0,,,,0,,,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,17,1,1,。,Character,,0,0,0,,0,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,大,,,52032,372143,Space,0,,,,0,,,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,1,1,2,大,Character,,0,0,0,,0,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,暑,,,52032,372143,Space,190,190,190,190,1,4807,190,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,2.3822,190,190,190,190,1,4807,190,2.3822,190,190,190,190,1,4807,190,211,211,211,211,1,4787,211,0,,,0,,,0,4787,,73.54,,2,1,2,暑,Character,,0,0,0,,190,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,（,,,52032,372143,Space,0,,,,0,,,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,3,1,2,（,Character,,0,0,0,,0,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,7,,,52032,372143,Space,0,,,,0,,,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,4,1,2,7,Character,,0,0,0,,0,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,月,,,52032,372143,Space,0,,,,0,,,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,5,1,2,月,Character,,0,0,0,,0,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,2,,,52032,372143,Space,162,162,162,162,1,4625,162,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,2.27979,162,162,162,162,1,4625,162,2.27979,162,162,162,162,1,4625,162,208,208,208,208,1,4578,208,0,,,0,,,0,4578,4787,252.58,73.54,6,1,2,2,Character,,0,0,0,,162,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,3,,,52032,372143,Space,0,,,,0,,,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,7,1,2,3,Character,,0,0,0,,0,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,日,,,52032,372143,Space,0,,,,0,,,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,8,1,2,日,Character,,0,0,0,,0,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,頃,,,52032,372143,Space,145,145,145,145,1,6343,145,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,2.28502,145,145,145,145,1,6343,145,2.28502,145,145,145,145,1,6343,145,169,169,169,169,1,6319,169,0,,,0,,,0,6319,6488,90.55,96.66,9,1,2,頃,Character,,0,0,0,,145,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,）,,,52032,372143,Space,0,,,,0,,,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,,0,,,,0,,,,0,,,,0,,,0,,,,0,,,0,,,0,,,0,,,,,10,1,2,）,Character,,0,0,0,,0,0,0
Recording1,テスト用,Version1,TOI_Text1,1,Text (1),,SV_Text1,の,,,52032,372143,Space,202,202,202,202,1,5407,202,"大暑（7月23日頃）の頃には日本の大部分は梅雨明けし、本格的な夏の暑さを迎える。,梅",,2.47799,202,202,202,202,1,5407,202,2.47799,202,202,202,202,1,5407,202,224,224,224,224,1,5385,224,0,,,0,,,0,5385,5609,86.79,44.9,11,1,2,の,Character,,0,0,0,,202,0,0
