Actual,Predicted,Error
20.321,17.190511227055378,3.1304887729446236
19.038,12.28971842879147,6.74828157120853
50.321,30.039688323481528,20.28131167651847
18.782,17.574878921948198,1.2071210780518022
19.295,12.414261608563248,6.880738391436754
28.91,16.33250150010612,12.577498499893881
15.577,10.739803281940308,4.837196718059692
14.295,13.77044651148113,0.5245534885188707
70.962,32.02607982914976,38.935920170850245
16.603,14.67307002178098,1.9299299782190218
22.756,15.024473943115083,7.731526056884917
22.115,16.03952841806285,6.075471581937148
20.833,19.665265206940937,1.1677347930590614
78.91,16.397940892416756,62.51205910758324
21.731,22.681134379715214,-0.9501343797152124
26.859,13.185181916152956,13.673818083847046
31.987,14.958187147241736,17.028812852758264
15.705,18.064326214289643,-2.359326214289643
18.654,15.311993037760834,3.342006962239166
78.141,35.77266154224195,42.36833845775806
76.474,34.4191976866502,42.0548023133498
17.5,31.425258002264734,-13.925258002264734
72.628,45.46148177477282,27.16651822522718
75.321,35.08506142512914,40.23593857487086
24.167,26.779008738151212,-2.6120087381512107
24.423,34.43830708219537,-10.015307082195374
20.449,26.841472700081987,-6.392472700081985
52.5,32.78021791968106,19.719782080318943
22.244,29.241318224838388,-6.997318224838388
70.064,43.8034004087304,26.260599591269596
70.833,38.652536148288156,32.18046385171184
47.244,37.24407695622752,9.999923043772483
73.013,27.647415980385645,45.36558401961436
66.731,55.80177093382274,10.929229066177257
19.167,27.241790510614543,-8.074790510614541
8.141,28.01305676023324,-19.872056760233242
76.987,41.51376843277063,35.47323156722936
20.321,40.16344961674022,-19.842449616740222
72.5,26.44059786475276,46.05940213524724
23.654,29.16061117239843,-5.506611172398429
20.321,45.27875142054401,-24.95775142054401
24.038,34.03769483576524,-9.999694835765236
78.141,35.07936028033158,43.06163971966843
59.295,31.16231629692475,28.13268370307525
55.064,44.1103135479448,10.953686452055202
24.551,24.32167480453281,0.22932519546718666
21.859,31.85870478845803,-9.999704788458029
21.218,36.28980820114478,-15.07180820114478
78.782,36.72194113385425,42.060058866145745
23.654,45.76704651913967,-22.11304651913967
7.756,23.615026700559284,-15.859026700559284
12.372,39.38622244976691,-27.014222449766912
11.603,21.602902578194808,-9.999902578194808
32.885,32.068341630063244,0.8166583699367536
71.346,60.69368395294559,10.652316047054413
30.321,40.320669791515556,-9.999669791515554
21.603,21.450757793606016,0.15224220639398567
64.038,23.122498773766587,40.91550122623341
51.987,44.45036473249473,7.536635267505275
12.244,17.884289336897826,-5.640289336897826
11.346,19.985725452216002,-8.639725452216002
10.192,20.191734057793433,-9.999734057793432
18.397,20.596656070068587,-2.1996560700685883
6.987,22.308019488816356,-15.321019488816356
5.962,31.683243245458616,-25.721243245458616
7.244,14.850791289360725,-7.606791289360725
29.167,21.539586090941427,7.627413909058575
21.859,22.273702637429103,-0.41470263742910163
17.372,21.711666304656042,-4.339666304656042
52.115,34.294119376921685,17.820880623078317
79.936,26.82431956144228,53.11168043855773
