iter	Passed	Remaining
157	2174	11588
158	2189	11581
159	2204	11571
160	2217	11558
161	2232	11547
162	2246	11533
163	2259	11516
164	2271	11497
165	2285	11483
166	2300	11472
167	2313	11459
168	2327	11444
169	2340	11428
170	2354	11415
171	2369	11407
172	2384	11397
173	2397	11382
174	2410	11365
175	2423	11348
176	2438	11338
177	2452	11326
178	2467	11317
179	2480	11301
180	2493	11284
181	2506	11266
182	2520	11252
183	2534	11240
184	2548	11228
185	2562	11214
186	2575	11198
187	2588	11181
188	2601	11164
189	2616	11153
190	2630	11141
191	2645	11131
192	2659	11120
193	2673	11108
194	2686	11090
195	2700	11077
196	2714	11065
197	2729	11057
198	2743	11044
199	2757	11030
200	2771	11015
201	2783	10996
202	2797	10983
203	2811	10969
204	2824	10954
205	2838	10941
206	2851	10925
207	2864	10907
208	2877	10892
209	2890	10875
210	2903	10858
211	2916	10839
212	2929	10825
213	2944	10813
214	2957	10797
215	2970	10782
216	2982	10763
217	2996	10749
218	3010	10734
219	3024	10721
220	3038	10711
221	3052	10696
222	3064	10679
223	3078	10663
224	3091	10649
225	3104	10633
226	3117	10616
227	3130	10598
228	3144	10588
229	3158	10575
230	3172	10562
231	3186	10548
232	3200	10534
233	3213	10518
234	3226	10504
235	3240	10491
236	3254	10477
237	3268	10463
238	3280	10445
239	3294	10432
240	3308	10418
241	3322	10406
242	3335	10391
243	3349	10376
244	3361	10358
245	3374	10343
246	3387	10327
247	3400	10311
248	3413	10295
249	3427	10281
250	3442	10271
251	3456	10259
252	3469	10245
253	3483	10230
254	3496	10215
255	3509	10200
256	3523	10187
257	3538	10177
258	3552	10163
259	3566	10149
260	3578	10132
261	3591	10117
262	3606	10105
263	3619	10090
264	3633	10077
265	3646	10062
266	3659	10047
267	3673	10033
268	3686	10017
269	3700	10006
270	3714	9992
271	3726	9975
272	3740	9961
273	3756	9952
274	3770	9939
275	3785	9930
276	3800	9919
277	3813	9905
278	3826	9889
279	3840	9876
280	3855	9864
281	3870	9853
282	3885	9844
283	3900	9834
284	3915	9822
285	3928	9806
286	3940	9790
287	3954	9777
288	3969	9764
289	3983	9752
290	3996	9737
291	4010	9723
292	4023	9707
293	4037	9695
294	4051	9682
295	4065	9668
296	4078	9653
297	4091	9637
298	4103	9621
299	4117	9608
300	4131	9593
301	4144	9578
302	4157	9562
303	4169	9546
304	4183	9532
305	4196	9518
306	4209	9503
307	4222	9486
308	4235	9472
309	4249	9459
310	4263	9444
311	4276	9430
312	4290	9417
313	4304	9404
314	4318	9391
315	4333	9380
316	4347	9366
317	4360	9352
318	4374	9337
319	4386	9322
320	4400	9307
321	4413	9294
322	4427	9279
323	4441	9266
324	4454	9250
325	4467	9236
326	4482	9225
327	4497	9214
328	4511	9201
329	4525	9188
330	4538	9173
331	4551	9158
332	4564	9143
333	4577	9128
334	4590	9113
335	4603	9096
336	4615	9080
337	4629	9067
338	4644	9055
339	4657	9040
340	4670	9026
341	4683	9011
342	4697	8997
343	4712	8986
344	4726	8973
345	4740	8960
346	4754	8947
347	4768	8933
348	4780	8917
349	4795	8905
350	4809	8893
351	4823	8879
352	4836	8865
353	4850	8852
354	4863	8836
355	4877	8822
356	4891	8809
357	4904	8795
358	4917	8780
359	4931	8766
360	4949	8761
361	4962	8746
362	4976	8733
363	4990	8720
364	5005	8707
365	5019	8695
366	5033	8681
367	5046	8667
368	5060	8653
369	5074	8640
370	5089	8628
371	5103	8615
372	5117	8601
373	5130	8587
374	5143	8573
375	5159	8562
376	5175	8552
377	5190	8540
378	5204	8526
379	5217	8512
380	5230	8498
381	5243	8482
382	5257	8469
383	5271	8456
384	5285	8442
385	5298	8428
386	5311	8413
387	5325	8400
388	5339	8387
389	5353	8373
390	5367	8360
391	5380	8345
392	5393	8331
393	5407	8317
394	5421	8304
395	5436	8291
396	5449	8277
397	5463	8263
398	5475	8248
399	5489	8234
400	5502	8219
401	5516	8205
402	5530	8192
403	5542	8176
404	5556	8163
405	5570	8149
406	5583	8135
