,sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
34,15.294037,11.325746,12.817165,7.03224,13.0196295,10.027204
35,17.329094,11.65162,13.487278,7.1837525,13.154334,9.587178
36,17.471914,11.489908,13.456468,7.2790627,13.501781,9.726451
37,16.904264,11.661561,13.520607,7.2501698,14.5242,10.150632
38,16.958427,11.53269,13.123056,7.0680203,14.132102,10.065381
39,17.186882,11.497745,13.143924,6.98041,13.057055,9.935599
40,16.243673,11.333353,12.7539,7.002426,11.942212,9.589575
41,17.854513,11.45207,13.27511,7.2761464,13.711262,9.97745
42,17.664135,11.629599,13.249751,7.19928,13.9496355,9.893404
43,17.684153,11.97983,13.962803,7.7978277,13.791233,9.869717
44,17.295565,11.620894,13.385331,7.243449,14.208967,9.855566
45,16.452307,11.798177,13.403512,7.219053,13.925153,10.4470005
46,16.644396,12.041054,13.866541,7.3892794,14.368145,10.3157835
47,14.758513,11.623918,13.068751,7.2204356,13.55723,10.057324
48,15.515878,11.632332,13.27679,7.0819664,12.987869,9.685836
49,18.868752,12.585592,13.973008,7.934475,16.056015,10.307692
50,15.6937065,11.546902,12.976785,7.130278,13.487997,10.291994
51,18.29685,12.822589,14.17353,8.760071,15.804306,11.171283
52,16.220167,11.545421,13.260828,7.24253,14.082115,10.107852
53,17.062551,11.88916,13.383296,7.1879773,13.928113,10.129092
54,14.439114,11.295759,12.706471,6.940249,13.674125,10.32197
55,14.185539,11.432082,12.74267,7.0511827,13.57427,10.287793
56,17.413908,11.589532,13.262301,7.118903,13.364389,10.400274
57,15.185722,11.6585455,13.169096,7.1106944,13.699461,10.239637
58,17.470522,11.816136,13.011753,7.093318,12.536966,10.457122
59,17.294992,11.528976,13.119946,7.121079,13.597148,9.860489
60,15.966215,11.636319,13.1694975,7.14901,12.115973,10.242573
61,16.994072,11.789168,13.600056,7.4318776,12.824127,10.889935
62,16.2026,11.5741005,13.370152,7.1637797,12.340206,10.1076765
63,16.064177,11.369172,13.051775,7.0529313,12.769363,10.384818
64,15.356185,11.30507,12.8313265,7.0624795,12.990008,10.735844
65,19.304071,12.518943,14.223363,8.696161,16.51065,10.52104
66,17.705229,11.500828,13.412824,7.1830883,14.736241,10.654047
67,15.25567,11.432448,12.962536,6.9974413,13.49839,10.40469
68,15.459453,11.246095,13.189605,7.059093,13.165581,10.2973175
69,16.394932,11.367328,13.088608,7.019486,13.836578,10.027636
70,15.77314,11.640459,13.47593,7.151916,14.24656,10.302055
71,14.294329,11.255573,13.150639,6.988177,12.741899,9.614813
72,16.232159,11.696904,13.54263,7.2657847,13.958859,10.043956
73,16.588953,11.62735,13.231265,7.116932,13.121678,9.762397
74,15.310093,11.498089,13.466917,7.1863523,12.729781,9.921086
75,15.2024765,11.665484,13.236011,7.1529045,13.301158,10.348955
76,15.544355,11.405126,13.037848,7.030529,12.595292,10.285756
77,15.486995,11.280776,12.897359,7.0218825,13.033591,10.413392
78,15.084118,11.396774,13.070077,7.164285,12.755744,10.280406
79,16.324469,11.321071,13.351451,7.1781893,13.538286,10.593243
80,17.015495,11.559654,13.03822,7.14631,13.161775,10.358575
81,14.622516,11.314786,12.887293,7.022639,13.404449,10.00747
82,15.951715,12.099172,13.568578,7.38665,12.770156,10.083327
83,16.983276,11.6660385,13.642846,7.462301,12.895498,10.049076
84,16.84503,11.686819,13.371081,7.177689,12.964632,9.825165
85,15.257955,11.453299,13.012049,7.1606345,12.84626,9.775278
86,14.838538,11.682172,13.260765,7.066494,12.396388,10.170174
87,16.56671,12.049751,13.752698,7.534137,13.479677,9.783764
88,16.140398,11.812601,13.455726,7.2271886,13.2321,10.149065
89,16.960316,11.533669,13.116363,7.2079744,12.797011,9.892098
90,16.894884,11.812571,13.342152,7.227263,12.353413,10.001794
91,15.786247,11.746875,13.095254,7.337738,12.710391,9.981222
92,16.727385,11.5074835,12.993616,7.2149234,12.878658,10.257206
93,17.387941,11.636964,13.434642,7.3550816,12.99756,10.6165905
94,18.052313,11.854014,13.80876,7.7046394,14.228394,10.119436
95,15.526995,11.433034,12.859959,7.060559,11.943526,10.374406
96,14.06266,11.317686,12.552205,6.9425244,12.758837,10.062064
97,16.89109,11.669442,13.493406,7.1691647,12.985718,10.074658
98,16.114508,11.540935,13.068475,7.026271,13.081724,10.511156
99,15.988895,11.52981,13.012889,7.128787,13.087514,10.131893
100,16.98902,11.689539,12.976649,7.339111,13.365745,10.770253
101,17.325514,11.507092,13.481091,7.335437,13.912346,10.741357
102,16.864605,11.426792,13.417968,7.2729015,13.714174,10.025595
103,15.685217,11.424949,13.159942,7.0107503,13.639061,10.287355
