,sonoisa/sentence-bert-base-ja-mean-tokens-v2,tohoku-nlp/bert-base-japanese,tohoku-nlp/bert-base-japanese-v3,tohoku-nlp/bert-base-japanese-char-v3,tohoku-nlp/bert-large-japanese-v2,tohoku-nlp/bert-large-japanese-char-v2
108,0.74923,0.95413804,0.9588603,0.9695159,0.94233716,0.95904434
109,0.8230175,0.9624696,0.9748224,0.97552294,0.9578879,0.9655938
110,0.8784753,0.9658099,0.9753068,0.97936577,0.9681796,0.9709984
111,0.65607893,0.9493017,0.9611472,0.9698061,0.9395592,0.9475835
112,0.75423443,0.9525386,0.9659173,0.9793007,0.9584193,0.96920276
113,0.8670034,0.9730167,0.9758097,0.9854821,0.9739051,0.9751435
114,0.71758294,0.96668965,0.96997494,0.97556204,0.96479774,0.9683628
115,0.49974784,0.9158698,0.92901564,0.93877196,0.91335374,0.92937285
116,0.31233984,0.88775176,0.9010163,0.8987344,0.8932448,0.88838905
117,0.38486752,0.9326872,0.9471426,0.9667232,0.95041114,0.9359653
118,0.6180065,0.9265589,0.95173615,0.9551076,0.9290601,0.95117277
119,0.46069682,0.91797674,0.94206005,0.94119895,0.93923944,0.9337744
120,0.57773644,0.932415,0.9561567,0.9623036,0.95158917,0.94492346
121,0.61936486,0.92539614,0.93574595,0.94875765,0.9157037,0.94303614
122,0.6693751,0.9489349,0.96698236,0.9432349,0.9553692,0.95427394
123,0.48622835,0.90477437,0.93709785,0.95191133,0.93467724,0.94603616
124,0.46251738,0.9342803,0.92269516,0.9563505,0.91993535,0.9146996
125,0.25548574,0.91272014,0.9162722,0.92404133,0.9125748,0.8916894
126,0.5572607,0.92122483,0.9411833,0.94819945,0.9294137,0.9251041
127,0.3945112,0.9320625,0.94158214,0.9588115,0.9331738,0.9373844
128,0.4914612,0.905551,0.9213309,0.9428903,0.91614825,0.92124915
129,0.38288724,0.9080735,0.93320626,0.94976294,0.9274813,0.9214672
130,0.39670187,0.89671457,0.9264027,0.92816794,0.89990205,0.92111546
131,0.51792985,0.91408116,0.9412555,0.93974066,0.93374354,0.93740237
132,0.3272301,0.9352585,0.9472471,0.9664411,0.949099,0.9477556
133,0.42846256,0.9154347,0.94374454,0.95275307,0.9239021,0.9388719
134,0.61800724,0.9251304,0.946647,0.9551079,0.9429552,0.9488263
135,0.40443432,0.93066186,0.9340499,0.9562031,0.91606337,0.9474047
136,0.43386412,0.94864845,0.9547556,0.96563816,0.9534604,0.9493337
137,0.56881464,0.9291733,0.9563632,0.9427236,0.94107395,0.9397417
138,0.536718,0.93507075,0.95141065,0.9615926,0.9489423,0.95085406
139,0.5584507,0.89294213,0.90920377,0.9406806,0.87644947,0.9085549
140,0.37455282,0.93025976,0.94100213,0.9403417,0.9415787,0.920407
141,0.35518807,0.9007423,0.9345993,0.93353105,0.9282165,0.91398394
142,0.5450395,0.8873941,0.9243953,0.94991636,0.8585509,0.93093944
