Actual,Predicted,Error,,X_std,Y_std,,X_100,Y_100
18.269,22.12096509,-3.851965093,,-0.284424213,0.262459643,,0.18269,0.221209651
19.936,35.43610922,-15.50010922,,-0.208744741,1.533181487,,0.19936,0.354361092
17.244,16.80902125,0.434978753,,-0.330957781,-0.244482154,,0.17244,0.168090213
12.115,17.46586808,-5.35086808,,-0.563807216,-0.181796417,,0.12115,0.174658681
21.218,21.45896192,-0.24096192,,-0.150543732,0.199281814,,0.21218,0.214589619
15.962,21.97542472,-6.013424724,,-0.38915879,0.248570095,,0.15962,0.219754247
13.397,23.44724499,-10.05024499,,-0.505606207,0.389032275,,0.13397,0.23447245
74.038,20.55042258,53.48757742,,2.247410483,0.112575972,,0.74038,0.205504226
59.936,43.55329922,16.38270078,,1.607199382,2.307840068,,0.59936,0.435532992
18.526,20.609481,-2.083480997,,-0.272756772,0.118212172,,0.18526,0.20609481
66.09,10.99105358,55.09894642,,1.886582385,-0.799715994,,0.6609,0.109910536
10.449,31.08362641,-20.63462641,,-0.639441289,1.117805211,,0.10449,0.310836264
12.5,19.27924601,-6.779246012,,-0.546328754,-0.008737911,,0.125,0.19279246
74.167,15.31664798,58.85035202,,2.253266903,-0.386905794,,0.74167,0.15316648
9.679,13.1396996,-3.460699602,,-0.674398213,-0.594661402,,0.09679,0.131396996
18.141,14.42206434,3.718935663,,-0.290235234,-0.472279784,,0.18141,0.144220643
17.885,16.02855233,1.856447674,,-0.301857276,-0.318965681,,0.17885,0.160285523
15.064,14.42877398,0.63522602,,-0.429926736,-0.471639454,,0.15064,0.14428774
11.859,14.15293676,-2.293936762,,-0.575429258,-0.497963794,,0.11859,0.141529368
72.244,23.01653192,49.22746808,,2.165965389,0.347927462,,0.72244,0.230165319
18.526,16.43086347,2.095136527,,-0.272756772,-0.280571387,,0.18526,0.164308635
30.962,15.43956575,15.52243425,,0.291820256,-0.37517522,,0.30962,0.154395658
17.5,16.06012637,1.439873633,,-0.319335738,-0.315952434,,0.175,0.160601264
15.192,18.81770711,-3.625707108,,-0.424115714,-0.052784566,,0.15192,0.188177071
14.936,13.39198415,1.54401585,,-0.435737757,-0.570584796,,0.14936,0.133919842
17.244,12.0226988,5.221301197,,-0.330957781,-0.701261624,,0.17244,0.120226988
20.321,18.93471132,1.386288677,,-0.191266279,-0.041618348,,0.20321,0.189347113
19.038,12.99182132,6.046178685,,-0.249512687,-0.608774067,,0.19038,0.129918213
50.321,33.50073549,16.82026451,,1.170691813,1.348480394,,0.50321,0.335007355
18.782,18.86028867,-0.078288675,,-0.261134729,-0.048720823,,0.18782,0.188602887
19.295,16.2365864,3.058413601,,-0.237845246,-0.299112089,,0.19295,0.162365864
28.91,17.85465693,11.05534307,,0.198662323,-0.144692613,,0.2891,0.178546569
15.577,14.24504431,1.331955687,,-0.406637252,-0.489173572,,0.15577,0.142450443
14.295,15.64051229,-1.345512294,,-0.464838261,-0.355998021,,0.14295,0.156405123
70.962,30.62080198,40.34119802,,2.10776438,1.073635872,,0.70962,0.30620802
16.603,13.68593106,2.917068942,,-0.360058285,-0.54253217,,0.16603,0.136859311
22.756,15.10431151,7.651688486,,-0.080720681,-0.407169983,,0.22756,0.151043115
22.115,15.6426069,6.472393103,,-0.109821185,-0.355798124,,0.22115,0.156426069
20.833,18.12034442,2.712655583,,-0.168022194,-0.119336907,,0.20833,0.181203444
78.91,15.96315698,62.94684302,,2.468592477,-0.325206642,,0.7891,0.15963157
21.731,14.3467945,7.384205498,,-0.127254249,-0.479463111,,0.21731,0.143467945
26.859,15.42389434,11.43510566,,0.105549788,-0.376670811,,0.26859,0.154238943
31.987,15.25793836,16.72906164,,0.338353824,-0.392508708,,0.31987,0.152579384
15.705,17.46834807,-1.76334807,,-0.400826231,-0.181559741,,0.15705,0.174683481
18.654,14.15356889,4.500431109,,-0.266945751,-0.497903467,,0.18654,0.141535689
78.141,24.24557314,53.89542686,,2.433680951,0.465220186,,0.78141,0.242455731
76.474,30.09433029,46.37966971,,2.35800148,1.023392399,,0.76474,0.300943303
17.5,25.18553366,-7.685533655,,-0.319335738,0.554924687,,0.175,0.251855337
72.628,37.69203444,34.93596556,,2.183398452,1.748474197,,0.72628,0.376920344
75.321,23.57881198,51.74218802,,2.305656891,0.401588282,,0.75321,0.23578812
24.167,19.87733621,4.289663788,,-0.016663252,0.048340426,,0.24167,0.198773362
24.423,38.56713971,-14.14413971,,-0.005041209,1.83198928,,0.24423,0.385671397
20.449,29.52166576,-9.072665755,,-0.185455258,0.968740544,,0.20449,0.295216658
52.5,23.12351183,29.37648817,,1.26961537,0.358137018,,0.525,0.231235118
22.244,22.14378351,0.100216491,,-0.103964765,0.264637303,,0.22244,0.221437835
70.064,33.82759824,36.23640176,,2.066996434,1.379674321,,0.70064,0.338275982
70.833,25.41042369,45.42257631,,2.10190796,0.576386916,,0.70833,0.254104237
47.244,29.70153793,17.54246207,,1.031000312,0.985906524,,0.47244,0.297015379
73.013,48.6935978,24.3194022,,2.200876915,2.798401012,,0.73013,0.486935978
66.731,50.63100872,16.09999128,,1.91568289,2.983296524,,0.66731,0.506310087
19.167,21.92718757,-2.760187569,,-0.243656267,0.243966615,,0.19167,0.219271876
8.141,28.22431711,-20.08331711,,-0.744221265,0.844928947,,0.08141,0.282243171
76.987,43.16663786,33.82036214,,2.381290963,2.2709393,,0.76987,0.431666379
20.321,27.98726346,-7.666263459,,-0.191266279,0.822305891,,0.20321,0.279872635
72.5,19.32310284,53.17689716,,2.177587431,-0.004552464,,0.725,0.193231028
23.654,23.75371553,-0.099715526,,-0.039952735,0.418280085,,0.23654,0.237537155
20.321,37.15073274,-16.82973274,,-0.191266279,1.696815432,,0.20321,0.371507327
24.038,28.52447508,-4.486475077,,-0.022519671,0.873574321,,0.24038,0.285244751
78.141,31.22094179,46.92005821,,2.433680951,1.130909812,,0.78141,0.312209418
59.295,21.6633342,37.6316658,,1.578098877,0.218785945,,0.59295,0.216633342
55.064,24.95881632,30.10518368,,1.386017388,0.53328807,,0.55064,0.249588163
24.551,22.04370283,2.507297172,,0.000769812,0.25508617,,0.24551,0.220437028
21.859,24.06541587,-2.206415868,,-0.121443228,0.448026998,,0.21859,0.240654159
21.218,28.82968899,-7.611688988,,-0.150543732,0.902702206,,0.21218,0.28829689
78.782,29.40674661,49.37525339,,2.462781456,0.957773312,,0.78782,0.294067466
23.654,35.21680296,-11.56280296,,-0.039952735,1.512252141,,0.23654,0.35216803
7.756,12.48720817,-4.731208173,,-0.761699727,-0.656931484,,0.07756,0.124872082
12.372,32.65639299,-20.28439299,,-0.552139775,1.267901134,,0.12372,0.32656393
11.603,17.03251544,-5.429515443,,-0.587051301,-0.223153135,,0.11603,0.170325154
32.885,31.93471735,0.950282647,,0.37912177,1.199028504,,0.32885,0.319347174
71.346,33.53965965,37.80634035,,2.125197443,1.352195095,,0.71346,0.335396597
30.321,34.61598074,-4.294980736,,0.262719752,1.454913076,,0.30321,0.346159807
21.603,21.50297398,0.100026017,,-0.13306527,0.203482076,,0.21603,0.21502974
64.038,15.69636174,48.34163826,,1.793424452,-0.350668067,,0.64038,0.156963617
51.987,32.29993402,19.68706598,,1.246325886,1.233882711,,0.51987,0.32299934
12.244,10.84727309,1.39672691,,-0.557950796,-0.813437588,,0.12244,0.108472731
11.346,11.24601967,0.099980326,,-0.598718742,-0.775383476,,0.11346,0.112460197
10.192,12.87897887,-2.686978873,,-0.65110873,-0.61954311,,0.10192,0.128789789
18.397,13.49947119,4.897528811,,-0.278613191,-0.560326842,,0.18397,0.134994712
6.987,16.16566474,-9.178664736,,-0.796611253,-0.30588045,,0.06987,0.161656647
5.962,21.88962395,-15.92762395,,-0.843144821,0.240381756,,0.05962,0.21889624
7.244,13.42444819,-6.180448193,,-0.784943812,-0.567486612,,0.07244,0.134244482
29.167,18.79886791,10.36813209,,0.210329764,-0.054582472,,0.29167,0.187988679
21.859,18.20781581,3.651184187,,-0.121443228,-0.110989133,,0.21859,0.182078158
17.372,15.84176945,1.530230551,,-0.32514676,-0.33679118,,0.17372,0.158417695
52.115,22.39290005,29.72209995,,1.252136907,0.288411573,,0.52115,0.223929001
79.936,21.8976015,58.0383985,,2.515171444,0.241143088,,0.79936,0.218976015
23.526,17.57714143,5.948858574,,-0.045763756,-0.17117712,,0.23526,0.175771414
29.295,17.90363679,11.39136321,,0.216140785,-0.140018254,,0.29295,0.179036368
38.654,40.92655599,-2.272555995,,0.641026311,2.05715859,,0.38654,0.40926556
10.962,18.11590491,-7.153904913,,-0.616151805,-0.119760588,,0.10962,0.181159049
7.756,13.40293303,-5.64693303,,-0.761699727,-0.569539897,,0.07756,0.13402933
0,11.23403933,-11.23403933,,-1.113811292,-0.776526812,,0,0.112340393
15.577,14.57159093,1.005409071,,-0.406637252,-0.458009814,,0.15577,0.145715909
15.577,16.90892037,-1.331920366,,-0.406637252,-0.234948348,,0.15577,0.169089204
8.013,11.82462648,-3.811626479,,-0.750032286,-0.720164523,,0.08013,0.118246265
10.962,14.81375172,-3.851751723,,-0.616151805,-0.434899362,,0.10962,0.148137517
14.295,12.72019496,1.57480504,,-0.464838261,-0.634696546,,0.14295,0.12720195
4.423,13.89424119,-9.471241193,,-0.913013271,-0.522652232,,0.04423,0.138942412
25.962,32.67799585,-6.715995851,,0.064827241,1.269962789,,0.25962,0.326779959
12.5,16.14826853,-3.648268529,,-0.546328754,-0.307540646,,0.125,0.161482685
0,11.62246411,-11.62246411,,-1.113811292,-0.739457753,,0,0.116224641
13.654,26.8668063,-13.2128063,,-0.493938766,0.715375814,,0.13654,0.268668063
8.141,10.7161915,-2.5751915,,-0.744221265,-0.825947272,,0.08141,0.107161915
5.833,9.882567562,-4.049567562,,-0.849001241,-0.905503613,,0.05833,0.098825676
9.167,10.39888532,-1.231885318,,-0.697642298,-0.856229174,,0.09167,0.103988853
1.09,10.68968098,-9.599680977,,-1.064326815,-0.828477286,,0.0109,0.10689681
1.346,8.361987336,-7.015987336,,-1.052704773,-1.050619166,,0.01346,0.083619873
25.192,21.84550346,3.346496542,,0.029870316,0.236171146,,0.25192,0.218455035
9.551,15.15489042,-5.603890417,,-0.680209234,-0.402343019,,0.09551,0.151548904
13.013,19.43796388,-6.424963882,,-0.523039271,0.006409223,,0.13013,0.194379639
13.654,14.33485602,-0.680856024,,-0.493938766,-0.480602451,,0.13654,0.14334856
14.295,12.28687504,2.00812496,,-0.464838261,-0.676050142,,0.14295,0.12286875
4.423,14.85451982,-10.43151982,,-0.913013271,-0.431008686,,0.04423,0.148545198
16.731,16.26899636,0.462003638,,-0.354247264,-0.296019066,,0.16731,0.162689964
8.397,12.52021929,-4.123219286,,-0.732599222,-0.653781091,,0.08397,0.125202193
