svm,"{'Duration_of_first_fixation': 0.042790697674418565, 'Minimum_duration_of_Visit': 0.047441860465116226, 'Maximum_duration_of_Visit': 0.06418604651162788, 'Number_of_Visits_per_characters': 0.050232558139534846, 'Number_of_saccades_in_AOI': 0.06279069767441854, 'Time_to_entry_saccade': 0.06186046511627905, 'Time_to_exit_saccade': 0.04418604651162787, 'First-pass_duration': 0.044651162790697606, 'Re-reading_duration_per_characters': 0.022325581395348792, 'Number_of_regression': 0.030232558139534828, 'Percentage_of_katakana_verb_numerator': 0.002790697674418552, 'Percentage_of_extra_difficulty_kanzi_words': 0.0037209302325581064, 'Number_of_extra_difficulty_kanzi_words': 0.00558139534883717, 'Percentage_of_regular_difficulty_kanzi_words': 0.047906976744186, 'Number_of_regular_difficulty_kanzi_words': 0.025581395348837167, 'Percentage_of_extra_difficulty_kanzis': 0.006976744186046458, 'Number_of_extra_difficulty_kanzis': 0.004186046511627883, 'Percentage_of_regular_difficulty_kanzis': 0.05162790697674413, 'Percentage_of_Chinese_words_verb': 0.07255813953488369, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.05302325581395344, 'Norm_model6': 0.039069767441860415, 'Avecossim_model6': 0.046511627906976695}",2025-01-21_16-54-44,
knn,"{'Duration_of_first_fixation': 0.0037209302325581285, 'Minimum_duration_of_Visit': 0.005116279069767415, 'Maximum_duration_of_Visit': 0.015348837209302291, 'Number_of_Visits_per_characters': 0.005116279069767438, 'Number_of_saccades_in_AOI': 0.007906976744186056, 'Time_to_entry_saccade': 0.007441860465116279, 'Time_to_exit_saccade': 0.0046511627906976605, 'First-pass_duration': 0.012558139534883717, 'Re-reading_duration_per_characters': 0.0018604651162790642, 'Number_of_regression': 0.005116279069767415, 'Percentage_of_katakana_verb_numerator': 0.0023255813953487747, 'Percentage_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_extra_difficulty_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.005116279069767415, 'Number_of_regular_difficulty_kanzi_words': 0.002790697674418574, 'Percentage_of_extra_difficulty_kanzis': -0.0027906976744186407, 'Number_of_extra_difficulty_kanzis': 0.00046511627906975495, 'Percentage_of_regular_difficulty_kanzis': 0.0060465116279069695, 'Percentage_of_Chinese_words_verb': 0.014418604651162781, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.006976744186046502, 'Norm_model6': 0.0046511627906976605, 'Avecossim_model6': 0.008837209302325566}",2025-01-21_16-54-44,
mlp,"{'Duration_of_first_fixation': 0.03255813953488369, 'Minimum_duration_of_Visit': 0.023255813953488302, 'Maximum_duration_of_Visit': 0.06744186046511624, 'Number_of_Visits_per_characters': 0.05441860465116277, 'Number_of_saccades_in_AOI': 0.03488372093023251, 'Time_to_entry_saccade': 0.03348837209302322, 'Time_to_exit_saccade': 0.021860465116279038, 'First-pass_duration': 0.027441860465116253, 'Re-reading_duration_per_characters': 0.025581395348837188, 'Number_of_regression': 0.031627906976744134, 'Percentage_of_katakana_verb_numerator': 0.0023255813953487747, 'Percentage_of_extra_difficulty_kanzi_words': 0.008837209302325543, 'Number_of_extra_difficulty_kanzi_words': 0.002790697674418552, 'Percentage_of_regular_difficulty_kanzi_words': 0.019534883720930197, 'Number_of_regular_difficulty_kanzi_words': 0.023255813953488347, 'Percentage_of_extra_difficulty_kanzis': 0.006046511627906925, 'Number_of_extra_difficulty_kanzis': 0.011162790697674386, 'Percentage_of_regular_difficulty_kanzis': 0.023720930232558123, 'Percentage_of_Chinese_words_verb': 0.022325581395348813, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.033953488372093, 'Norm_model6': 0.043720930232558096, 'Avecossim_model6': 0.02744186046511623}",2025-01-21_16-54-44,
nb,"{'Duration_of_first_fixation': 0.0, 'Minimum_duration_of_Visit': 0.0, 'Maximum_duration_of_Visit': -0.00046511627906976606, 'Number_of_Visits_per_characters': 0.0, 'Number_of_saccades_in_AOI': 0.0, 'Time_to_entry_saccade': 0.0, 'Time_to_exit_saccade': 0.0, 'First-pass_duration': -0.00046511627906976606, 'Re-reading_duration_per_characters': -0.00046511627906976606, 'Number_of_regression': 0.0, 'Percentage_of_katakana_verb_numerator': 0.0009302325581395321, 'Percentage_of_extra_difficulty_kanzi_words': -0.011627906976744207, 'Number_of_extra_difficulty_kanzi_words': -0.01488372093023257, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Number_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_extra_difficulty_kanzis': -0.023720930232558148, 'Number_of_extra_difficulty_kanzis': -0.02930232558139536, 'Percentage_of_regular_difficulty_kanzis': 0.0, 'Percentage_of_Chinese_words_verb': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0, 'Norm_model6': -0.0037209302325581506, 'Avecossim_model6': -0.0032558139534883622}",2025-01-21_16-54-44,
model,PFI,Date,
log,"{'Maximum_duration_of_Visit': 0.0553488372093023, 'Number_of_Visits_per_characters': 0.006046511627906992, 'First-pass_first_fixation_duration_per_characters': 0.0018604651162790864, 'Number_of_extra_difficulty_kanzi_words': 0.0037209302325581506, 'Number_of_regular_difficulty_kanzi_words': 0.005581395348837215, 'Number_of_extra_difficulty_kanzis': 0.008372093023255811, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.00046511627906979934}",2025-01-21_17-08-17,
rf,"{'Maximum_duration_of_Visit': 0.0, 'Number_of_Visits_per_characters': 0.0, 'First-pass_first_fixation_duration_per_characters': 0.0, 'Number_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_regular_difficulty_kanzi_words': 0.0, 'Number_of_extra_difficulty_kanzis': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0}",2025-01-21_17-08-17,
gb,"{'Maximum_duration_of_Visit': 0.1786046511627907, 'Number_of_Visits_per_characters': 0.1344186046511628, 'First-pass_first_fixation_duration_per_characters': 0.09302325581395351, 'Number_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_regular_difficulty_kanzi_words': 0.026046511627906964, 'Number_of_extra_difficulty_kanzis': 0.00046511627906977717, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.06418604651162792}",2025-01-21_17-08-17,
svm,"{'Maximum_duration_of_Visit': 0.09720930232558136, 'Number_of_Visits_per_characters': 0.08418604651162787, 'First-pass_first_fixation_duration_per_characters': 0.07627906976744184, 'Number_of_extra_difficulty_kanzi_words': 0.006511627906976703, 'Number_of_regular_difficulty_kanzi_words': 0.06976744186046506, 'Number_of_extra_difficulty_kanzis': 0.011162790697674386, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.09953488372093022}",2025-01-21_17-08-17,
knn,"{'Maximum_duration_of_Visit': 0.06093023255813952, 'Number_of_Visits_per_characters': 0.04651162790697674, 'First-pass_first_fixation_duration_per_characters': 0.025116279069767454, 'Number_of_extra_difficulty_kanzi_words': -2.2204460492503132e-17, 'Number_of_regular_difficulty_kanzi_words': 0.028837209302325584, 'Number_of_extra_difficulty_kanzis': 0.0046511627906976605, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.031627906976744155}",2025-01-21_17-08-17,
mlp,"{'Maximum_duration_of_Visit': 0.0832558139534884, 'Number_of_Visits_per_characters': 0.06046511627906979, 'First-pass_first_fixation_duration_per_characters': 0.054418604651162814, 'Number_of_extra_difficulty_kanzi_words': 0.0023255813953488636, 'Number_of_regular_difficulty_kanzi_words': 0.040000000000000056, 'Number_of_extra_difficulty_kanzis': 0.008837209302325654, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.04604651162790703}",2025-01-21_17-08-17,
nb,"{'Maximum_duration_of_Visit': 0.038139534883720974, 'Number_of_Visits_per_characters': 0.02372093023255817, 'First-pass_first_fixation_duration_per_characters': -0.004651162790697638, 'Number_of_extra_difficulty_kanzi_words': -0.003255813953488329, 'Number_of_regular_difficulty_kanzi_words': -0.013023255813953426, 'Number_of_extra_difficulty_kanzis': -0.0009302325581395321, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.013488372093023292}",2025-01-21_17-08-17,
model,PFI,Date,
log,"{'Average_duration_of_Visit_per_characters': -0.0032558139534883735, 'Maximum_duration_of_Visit': 0.05720930232558134, 'Number_of_Visits_per_characters': 0.001860465116279042, 'Peak_velocity_of_entry_saccade': 0.0013953488372092648, 'Percentage_of_katakana_verb_numerator': 0.0, 'Number_of_regular_difficulty_kanzis': 0.004186046511627883}",2025-01-21_17-23-54,
rf,"{'Average_duration_of_Visit_per_characters': 0.0, 'Maximum_duration_of_Visit': 0.0, 'Number_of_Visits_per_characters': 0.0, 'Peak_velocity_of_entry_saccade': 0.0, 'Percentage_of_katakana_verb_numerator': 0.0, 'Number_of_regular_difficulty_kanzis': 0.0}",2025-01-21_17-23-54,
