nb,"{'Maximum_duration_of_Visit': 0.07488372093023257, 'Number_of_Visits_per_character': 0.017209302325581443, 'Time_to_entry_saccade': 0.0027906976744186407, 'Number_of_regression': 0.016279069767441867, 'extra_difficult_kanzi_words': 0.00046511627906979934, 'Percentage_of_regular_difficulty_kanzi_words': 0.0023255813953488636, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.006046511627906992}",2025-02-14_21-55-48
model,PFI,Date
log,"{'Maximum_duration_of_Visit': 0.04930232558139538, 'Number_of_Visits_per_character': 0.00046511627906982157, 'Time_to_entry_saccade': 4.4408920985006264e-17, 'Number_of_regression': -0.002790697674418574, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0037209302325581506, 'Percentage_of_adnominal_modification_out_of_total_nouns': -0.002325581395348797}",2025-02-14_21-58-12
rf,"{'Maximum_duration_of_Visit': 0.0, 'Number_of_Visits_per_character': 0.0, 'Time_to_entry_saccade': 0.0, 'Number_of_regression': 0.0, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0}",2025-02-14_21-58-12
gb,"{'Maximum_duration_of_Visit': 0.14372093023255814, 'Number_of_Visits_per_character': 0.11023255813953489, 'Time_to_entry_saccade': 0.07674418604651163, 'Number_of_regression': 0.0013953488372093093, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.005116279069767438, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.031162790697674424}",2025-02-14_21-58-12
svm,"{'Maximum_duration_of_Visit': 0.1697674418604651, 'Number_of_Visits_per_character': 0.1525581395348837, 'Time_to_entry_saccade': 0.18325581395348836, 'Number_of_regression': 0.1944186046511628, 'extra_difficult_kanzi_words': 0.007906976744186056, 'Percentage_of_regular_difficulty_kanzi_words': 0.1534883720930233, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.19116279069767445}",2025-02-14_21-58-12
knn,"{'Maximum_duration_of_Visit': 0.020930232558139483, 'Number_of_Visits_per_character': -0.0009302325581395765, 'Time_to_entry_saccade': -0.006046511627907036, 'Number_of_regression': -0.008372093023255877, 'extra_difficult_kanzi_words': 0.00046511627906975495, 'Percentage_of_regular_difficulty_kanzi_words': 0.0018604651162790198, 'Percentage_of_adnominal_modification_out_of_total_nouns': -0.0018604651162791308}",2025-02-14_21-58-12
mlp,"{'Maximum_duration_of_Visit': 0.06139534883720925, 'Number_of_Visits_per_character': 0.017674418604651087, 'Time_to_entry_saccade': 0.00651162790697668, 'Number_of_regression': -0.004186046511627972, 'extra_difficult_kanzi_words': 0.00046511627906975495, 'Percentage_of_regular_difficulty_kanzi_words': 0.00046511627906971055, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.004186046511627861}",2025-02-14_21-58-12
nb,"{'Maximum_duration_of_Visit': 0.07488372093023257, 'Number_of_Visits_per_character': 0.017209302325581443, 'Time_to_entry_saccade': 0.0027906976744186407, 'Number_of_regression': 0.016279069767441867, 'extra_difficult_kanzi_words': 0.00046511627906979934, 'Percentage_of_regular_difficulty_kanzi_words': 0.0023255813953488636, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.006046511627906992}",2025-02-14_21-58-12
model,PFI,Date
log,"{'Maximum_duration_of_Visit': 0.04930232558139538, 'Number_of_Visits_per_character': 0.00046511627906982157, 'Time_to_entry_saccade': 4.4408920985006264e-17, 'Number_of_regression': -0.002790697674418574, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0037209302325581506, 'Percentage_of_adnominal_modification_out_of_total_nouns': -0.002325581395348797}",2025-02-14_22-02-07
rf,"{'Maximum_duration_of_Visit': 0.0, 'Number_of_Visits_per_character': 0.0, 'Time_to_entry_saccade': 0.0, 'Number_of_regression': 0.0, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0}",2025-02-14_22-02-07
gb,"{'Maximum_duration_of_Visit': 0.15348837209302327, 'Number_of_Visits_per_character': 0.09720930232558138, 'Time_to_entry_saccade': 0.08139534883720931, 'Number_of_regression': 0.006976744186046524, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.01488372093023258, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.049302325581395356}",2025-02-14_22-02-07
svm,"{'Maximum_duration_of_Visit': 0.1697674418604651, 'Number_of_Visits_per_character': 0.1525581395348837, 'Time_to_entry_saccade': 0.18325581395348836, 'Number_of_regression': 0.1944186046511628, 'extra_difficult_kanzi_words': 0.007906976744186056, 'Percentage_of_regular_difficulty_kanzi_words': 0.1534883720930233, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.19116279069767445}",2025-02-14_22-02-07
knn,"{'Maximum_duration_of_Visit': 0.020930232558139483, 'Number_of_Visits_per_character': -0.0009302325581395765, 'Time_to_entry_saccade': -0.006046511627907036, 'Number_of_regression': -0.008372093023255877, 'extra_difficult_kanzi_words': 0.00046511627906975495, 'Percentage_of_regular_difficulty_kanzi_words': 0.0018604651162790198, 'Percentage_of_adnominal_modification_out_of_total_nouns': -0.0018604651162791308}",2025-02-14_22-02-07
mlp,"{'Maximum_duration_of_Visit': 0.11627906976744187, 'Number_of_Visits_per_character': 0.07348837209302324, 'Time_to_entry_saccade': 0.08232558139534885, 'Number_of_regression': 0.08139534883720931, 'extra_difficult_kanzi_words': 0.004651162790697683, 'Percentage_of_regular_difficulty_kanzi_words': 0.04604651162790698, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0772093023255814}",2025-02-14_22-02-07
nb,"{'Maximum_duration_of_Visit': 0.07488372093023257, 'Number_of_Visits_per_character': 0.017209302325581443, 'Time_to_entry_saccade': 0.0027906976744186407, 'Number_of_regression': 0.016279069767441867, 'extra_difficult_kanzi_words': 0.00046511627906979934, 'Percentage_of_regular_difficulty_kanzi_words': 0.0023255813953488636, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.006046511627906992}",2025-02-14_22-02-07
model,PFI,Date
log,"{'Maximum_duration_of_Visit': 0.04930232558139538, 'Number_of_Visits_per_character': 0.00046511627906982157, 'Time_to_entry_saccade': 4.4408920985006264e-17, 'Number_of_regression': -0.002790697674418574, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0037209302325581506, 'Percentage_of_adnominal_modification_out_of_total_nouns': -0.002325581395348797}",2025-02-14_22-04-59
rf,"{'Maximum_duration_of_Visit': 0.0, 'Number_of_Visits_per_character': 0.0, 'Time_to_entry_saccade': 0.0, 'Number_of_regression': 0.0, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0}",2025-02-14_22-04-59
gb,"{'Maximum_duration_of_Visit': -0.013023255813953504, 'Number_of_Visits_per_character': 0.0032558139534883514, 'Time_to_entry_saccade': 0.016279069767441846, 'Number_of_regression': -0.027906976744186063, 'extra_difficult_kanzi_words': 0.00046511627906976606, 'Percentage_of_regular_difficulty_kanzi_words': -0.006976744186046524, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.00046511627906974383}",2025-02-14_22-04-59
svm,"{'Maximum_duration_of_Visit': 0.1697674418604651, 'Number_of_Visits_per_character': 0.1525581395348837, 'Time_to_entry_saccade': 0.18325581395348836, 'Number_of_regression': 0.1944186046511628, 'extra_difficult_kanzi_words': 0.007906976744186056, 'Percentage_of_regular_difficulty_kanzi_words': 0.1534883720930233, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.19116279069767445}",2025-02-14_22-04-59
knn,"{'Maximum_duration_of_Visit': 0.048372093023255826, 'Number_of_Visits_per_character': 0.01395348837209307, 'Time_to_entry_saccade': 0.02511627906976748, 'Number_of_regression': 0.03069767441860467, 'extra_difficult_kanzi_words': 0.0009302325581395765, 'Percentage_of_regular_difficulty_kanzi_words': 0.020000000000000018, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0386046511627907}",2025-02-14_22-04-59
mlp,"{'Maximum_duration_of_Visit': 0.0813953488372093, 'Number_of_Visits_per_character': 0.030232558139534915, 'Time_to_entry_saccade': 0.029767441860465114, 'Number_of_regression': 0.020000000000000018, 'extra_difficult_kanzi_words': 0.00046511627906979934, 'Percentage_of_regular_difficulty_kanzi_words': 0.006976744186046524, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.030232558139534894}",2025-02-14_22-04-59
nb,"{'Maximum_duration_of_Visit': 0.07488372093023257, 'Number_of_Visits_per_character': 0.017209302325581443, 'Time_to_entry_saccade': 0.0027906976744186407, 'Number_of_regression': 0.016279069767441867, 'extra_difficult_kanzi_words': 0.00046511627906979934, 'Percentage_of_regular_difficulty_kanzi_words': 0.0023255813953488636, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.006046511627906992}",2025-02-14_22-04-59
model,PFI,Date
log,"{'Maximum_duration_of_Visit': 0.04930232558139538, 'Number_of_Visits_per_character': 0.00046511627906982157, 'Time_to_entry_saccade': 4.4408920985006264e-17, 'Number_of_regression': -0.002790697674418574, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.004186046511627928, 'Percentage_of_adnominal_modification_out_of_total_nouns': -0.002790697674418574}",2025-02-14_22-07-34
rf,"{'Maximum_duration_of_Visit': 0.0, 'Number_of_Visits_per_character': 0.0, 'Time_to_entry_saccade': 0.0, 'Number_of_regression': 0.0, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0}",2025-02-14_22-07-34
gb,"{'Maximum_duration_of_Visit': 0.20186046511627911, 'Number_of_Visits_per_character': 0.1511627906976744, 'Time_to_entry_saccade': 0.14790697674418607, 'Number_of_regression': 0.040930232558139545, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.04651162790697676, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.07813953488372094}",2025-02-14_22-07-34
svm,"{'Maximum_duration_of_Visit': 0.092093023255814, 'Number_of_Visits_per_character': 0.1004651162790698, 'Time_to_entry_saccade': 0.08604651162790702, 'Number_of_regression': 0.08976744186046515, 'extra_difficult_kanzi_words': 0.006046511627906992, 'Percentage_of_regular_difficulty_kanzi_words': 0.04511627906976747, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.09302325581395351}",2025-02-14_22-07-34
knn,"{'Maximum_duration_of_Visit': 0.048372093023255826, 'Number_of_Visits_per_character': 0.01395348837209307, 'Time_to_entry_saccade': 0.02511627906976748, 'Number_of_regression': 0.03069767441860467, 'extra_difficult_kanzi_words': 0.0009302325581395765, 'Percentage_of_regular_difficulty_kanzi_words': 0.020000000000000018, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0386046511627907}",2025-02-14_22-07-34
mlp,"{'Maximum_duration_of_Visit': 0.06186046511627907, 'Number_of_Visits_per_character': 0.013488372093023249, 'Time_to_entry_saccade': 0.0060465116279069695, 'Number_of_regression': 0.0027906976744185965, 'extra_difficult_kanzi_words': 0.0009302325581395099, 'Percentage_of_regular_difficulty_kanzi_words': -2.2204460492503132e-17, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.009302325581395344}",2025-02-14_22-07-34
nb,"{'Maximum_duration_of_Visit': 0.07488372093023257, 'Number_of_Visits_per_character': 0.017209302325581443, 'Time_to_entry_saccade': 0.0027906976744186407, 'Number_of_regression': 0.016279069767441867, 'extra_difficult_kanzi_words': 0.00046511627906979934, 'Percentage_of_regular_difficulty_kanzi_words': 0.0023255813953488636, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.006046511627906992}",2025-02-14_22-07-34
model,PFI,Date
log,"{'Maximum_duration_of_Visit': 0.04883720930232562, 'Number_of_Visits_per_character': 0.00046511627906982157, 'Time_to_entry_saccade': -0.0004651162790697327, 'Number_of_regression': -0.002325581395348819, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.004186046511627928, 'Percentage_of_adnominal_modification_out_of_total_nouns': -0.0013953488372092648}",2025-02-14_22-10-47
rf,"{'Maximum_duration_of_Visit': 0.0, 'Number_of_Visits_per_character': 0.0, 'Time_to_entry_saccade': 0.0, 'Number_of_regression': 0.0, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0}",2025-02-14_22-10-47
gb,"{'Maximum_duration_of_Visit': 0.13209302325581396, 'Number_of_Visits_per_character': 0.06697674418604652, 'Time_to_entry_saccade': 0.07534883720930233, 'Number_of_regression': 0.007906976744186056, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.006511627906976769, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.03395348837209302}",2025-02-14_22-10-47
svm,"{'Maximum_duration_of_Visit': 0.09162790697674424, 'Number_of_Visits_per_character': 0.10465116279069772, 'Time_to_entry_saccade': 0.08651162790697678, 'Number_of_regression': 0.09255813953488376, 'extra_difficult_kanzi_words': 0.007906976744186101, 'Percentage_of_regular_difficulty_kanzi_words': 0.04604651162790703, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.09860465116279075}",2025-02-14_22-10-47
knn,"{'Maximum_duration_of_Visit': 0.05441860465116275, 'Number_of_Visits_per_character': 0.022325581395348838, 'Time_to_entry_saccade': 0.031162790697674404, 'Number_of_regression': 0.02930232558139534, 'extra_difficult_kanzi_words': 0.0013953488372092648, 'Percentage_of_regular_difficulty_kanzi_words': 0.022790697674418593, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.038139534883720926}",2025-02-14_22-10-47
mlp,"{'Maximum_duration_of_Visit': 0.12604651162790692, 'Number_of_Visits_per_character': 0.07767441860465112, 'Time_to_entry_saccade': 0.09720930232558138, 'Number_of_regression': 0.09023255813953486, 'extra_difficult_kanzi_words': 0.007906976744186011, 'Percentage_of_regular_difficulty_kanzi_words': 0.049302325581395315, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.09209302325581392}",2025-02-14_22-10-47
nb,"{'Maximum_duration_of_Visit': 0.07488372093023257, 'Number_of_Visits_per_character': 0.017209302325581443, 'Time_to_entry_saccade': 0.0027906976744186407, 'Number_of_regression': 0.016279069767441867, 'extra_difficult_kanzi_words': 0.00046511627906979934, 'Percentage_of_regular_difficulty_kanzi_words': 0.0023255813953488636, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.006046511627906992}",2025-02-14_22-10-47
model,PFI,Date
log,"{'Maximum_duration_of_Visit': 0.05488372093023262, 'Number_of_Visits_per_character': 0.006511627906976769, 'Time_to_entry_saccade': 0.005581395348837259, 'Number_of_regression': -0.0009302325581394877, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.005116279069767504, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.003720930232558195, 'Cossim_model6': 0.012558139534883783, 'Norm_model6': 0.012093023255814007}",2025-02-15_16-45-27
rf,"{'Maximum_duration_of_Visit': 0.0, 'Number_of_Visits_per_character': 0.0, 'Time_to_entry_saccade': 0.0, 'Number_of_regression': 0.0, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0, 'Cossim_model6': 0.0, 'Norm_model6': 0.0}",2025-02-15_16-45-27
gb,"{'Maximum_duration_of_Visit': 0.11674418604651167, 'Number_of_Visits_per_character': 0.08046511627906978, 'Time_to_entry_saccade': 0.06372093023255813, 'Number_of_regression': 0.0027906976744186407, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.016744186046511643, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.026511627906976764, 'Cossim_model6': 0.07767441860465119, 'Norm_model6': 0.09488372093023253}",2025-02-15_16-45-27
svm,"{'Maximum_duration_of_Visit': 0.1325581395348837, 'Number_of_Visits_per_character': 0.086046511627907, 'Time_to_entry_saccade': 0.12651162790697676, 'Number_of_regression': 0.1344186046511628, 'extra_difficult_kanzi_words': 0.010232558139534876, 'Percentage_of_regular_difficulty_kanzi_words': 0.08558139534883721, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.12232558139534881, 'Cossim_model6': 0.11906976744186046, 'Norm_model6': 0.10604651162790699}",2025-02-15_16-45-27
knn,"{'Maximum_duration_of_Visit': 0.027906976744186095, 'Number_of_Visits_per_character': 0.00046511627906984374, 'Time_to_entry_saccade': 0.003720930232558195, 'Number_of_regression': -0.004651162790697638, 'extra_difficult_kanzi_words': 0.00046511627906977717, 'Percentage_of_regular_difficulty_kanzi_words': 0.0027906976744186407, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.005581395348837259, 'Cossim_model6': 0.0009302325581395987, 'Norm_model6': 4.4408920985006264e-17}",2025-02-15_16-45-27
mlp,"{'Maximum_duration_of_Visit': 0.07953488372093025, 'Number_of_Visits_per_character': 0.031627906976744204, 'Time_to_entry_saccade': 0.03069767441860467, 'Number_of_regression': 0.022790697674418613, 'extra_difficult_kanzi_words': 2.2204460492503132e-17, 'Percentage_of_regular_difficulty_kanzi_words': 0.010232558139534942, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.03953488372093026, 'Cossim_model6': 0.0246511627906977, 'Norm_model6': 0.0246511627906977}",2025-02-15_16-45-27
nb,"{'Maximum_duration_of_Visit': 0.05906976744186043, 'Number_of_Visits_per_character': 0.009767441860465053, 'Time_to_entry_saccade': 0.002790697674418552, 'Number_of_regression': 0.018139534883720908, 'extra_difficult_kanzi_words': 0.00046511627906975495, 'Percentage_of_regular_difficulty_kanzi_words': 0.0037209302325581064, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.008372093023255766, 'Cossim_model6': -0.005581395348837237, 'Norm_model6': 0.002325581395348797}",2025-02-15_16-45-27
model,PFI,Date
log,"{'Maximum_duration_of_Visit': 0.05255813953488373, 'Number_of_Visits_per_character': 0.0037209302325581285, 'Time_to_entry_saccade': 0.0032558139534883735, 'Number_of_regression': -0.00511627906976746, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0018604651162790642, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.00046511627906975495, 'Cossim_model6': 0.008837209302325589, 'Norm_model6': 0.010697674418604652}",2025-02-15_17-01-53
rf,"{'Maximum_duration_of_Visit': 0.035348837209302285, 'Number_of_Visits_per_character': 0.016744186046511622, 'Time_to_entry_saccade': 0.0027906976744185965, 'Number_of_regression': 0.006511627906976769, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0013953488372092648, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.011627906976744162, 'Cossim_model6': 0.038139534883720905, 'Norm_model6': 0.025116279069767433}",2025-02-15_17-01-53
gb,"{'Maximum_duration_of_Visit': 0.047441860465116295, 'Number_of_Visits_per_character': 0.008372093023255834, 'Time_to_entry_saccade': 0.0023255813953488415, 'Number_of_regression': 0.004186046511627928, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': -0.0060465116279069695, 'Percentage_of_adnominal_modification_out_of_total_nouns': -0.00046511627906977717, 'Cossim_model6': 0.016744186046511643, 'Norm_model6': 0.013953488372093027}",2025-02-15_17-01-53
svm,"{'Maximum_duration_of_Visit': 0.040930232558139566, 'Number_of_Visits_per_character': 0.019069767441860508, 'Time_to_entry_saccade': 0.009767441860465164, 'Number_of_regression': 0.015813953488372133, 'extra_difficult_kanzi_words': 0.0032558139534883956, 'Percentage_of_regular_difficulty_kanzi_words': 0.007906976744186101, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.013488372093023315, 'Cossim_model6': 0.011627906976744252, 'Norm_model6': 0.013023255813953517}",2025-02-15_17-01-53
knn,"{'Maximum_duration_of_Visit': 0.02976744186046514, 'Number_of_Visits_per_character': -0.0013953488372093093, 'Time_to_entry_saccade': -0.006046511627906992, 'Number_of_regression': -0.0065116279069767245, 'extra_difficult_kanzi_words': 0.00046511627906977717, 'Percentage_of_regular_difficulty_kanzi_words': 0.00046511627906975495, 'Percentage_of_adnominal_modification_out_of_total_nouns': -0.008837209302325589, 'Cossim_model6': 0.0018604651162790864, 'Norm_model6': -0.007441860465116279}",2025-02-15_17-01-53
mlp,"{'Maximum_duration_of_Visit': 0.14325581395348835, 'Number_of_Visits_per_character': 0.09581395348837207, 'Time_to_entry_saccade': 0.08697674418604646, 'Number_of_regression': 0.10093023255813953, 'extra_difficult_kanzi_words': 0.0041860465116279055, 'Percentage_of_regular_difficulty_kanzi_words': 0.0795348837209302, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.10511627906976742, 'Cossim_model6': 0.11627906976744184, 'Norm_model6': 0.10046511627906973}",2025-02-15_17-01-53
nb,"{'Maximum_duration_of_Visit': 0.05906976744186043, 'Number_of_Visits_per_character': 0.009767441860465053, 'Time_to_entry_saccade': 0.002790697674418552, 'Number_of_regression': 0.018139534883720908, 'extra_difficult_kanzi_words': 0.00046511627906975495, 'Percentage_of_regular_difficulty_kanzi_words': 0.0037209302325581064, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.008372093023255766, 'Cossim_model6': -0.005581395348837237, 'Norm_model6': 0.002325581395348797}",2025-02-15_17-01-53
model,PFI,Date
log,"{'Maximum_duration_of_Visit': 0.05255813953488373, 'Number_of_Visits_per_character': 0.0037209302325581285, 'Time_to_entry_saccade': 0.0032558139534883735, 'Number_of_regression': -0.00511627906976746, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0018604651162790642, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.00046511627906975495, 'Cossim_model6': 0.008837209302325589, 'Norm_model6': 0.010697674418604652}",2025-02-15_17-16-34
rf,"{'Maximum_duration_of_Visit': 0.035348837209302285, 'Number_of_Visits_per_character': 0.016744186046511622, 'Time_to_entry_saccade': 0.0027906976744185965, 'Number_of_regression': 0.006511627906976769, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0013953488372092648, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.011627906976744162, 'Cossim_model6': 0.038139534883720905, 'Norm_model6': 0.025116279069767433}",2025-02-15_17-16-34
gb,"{'Maximum_duration_of_Visit': 0.047441860465116295, 'Number_of_Visits_per_character': 0.008372093023255834, 'Time_to_entry_saccade': 0.0023255813953488415, 'Number_of_regression': 0.004186046511627928, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': -0.0060465116279069695, 'Percentage_of_adnominal_modification_out_of_total_nouns': -0.00046511627906977717, 'Cossim_model6': 0.016744186046511643, 'Norm_model6': 0.013953488372093027}",2025-02-15_17-16-34
svm,"{'Maximum_duration_of_Visit': 0.040930232558139566, 'Number_of_Visits_per_character': 0.019069767441860508, 'Time_to_entry_saccade': 0.009767441860465164, 'Number_of_regression': 0.015813953488372133, 'extra_difficult_kanzi_words': 0.0032558139534883956, 'Percentage_of_regular_difficulty_kanzi_words': 0.007906976744186101, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.013488372093023315, 'Cossim_model6': 0.011627906976744252, 'Norm_model6': 0.013023255813953517}",2025-02-15_17-16-34
knn,"{'Maximum_duration_of_Visit': 0.02976744186046514, 'Number_of_Visits_per_character': -0.0013953488372093093, 'Time_to_entry_saccade': -0.006046511627906992, 'Number_of_regression': -0.0065116279069767245, 'extra_difficult_kanzi_words': 0.00046511627906977717, 'Percentage_of_regular_difficulty_kanzi_words': 0.00046511627906975495, 'Percentage_of_adnominal_modification_out_of_total_nouns': -0.008837209302325589, 'Cossim_model6': 0.0018604651162790864, 'Norm_model6': -0.007441860465116279}",2025-02-15_17-16-34
mlp,"{'Maximum_duration_of_Visit': 0.14325581395348835, 'Number_of_Visits_per_character': 0.09581395348837207, 'Time_to_entry_saccade': 0.08697674418604646, 'Number_of_regression': 0.10093023255813953, 'extra_difficult_kanzi_words': 0.0041860465116279055, 'Percentage_of_regular_difficulty_kanzi_words': 0.0795348837209302, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.10511627906976742, 'Cossim_model6': 0.11627906976744184, 'Norm_model6': 0.10046511627906973}",2025-02-15_17-16-34
nb,"{'Maximum_duration_of_Visit': 0.05906976744186043, 'Number_of_Visits_per_character': 0.009767441860465053, 'Time_to_entry_saccade': 0.002790697674418552, 'Number_of_regression': 0.018139534883720908, 'extra_difficult_kanzi_words': 0.00046511627906975495, 'Percentage_of_regular_difficulty_kanzi_words': 0.0037209302325581064, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.008372093023255766, 'Cossim_model6': -0.005581395348837237, 'Norm_model6': 0.002325581395348797}",2025-02-15_17-16-34
model,PFI,Date
log,"{'Maximum_duration_of_Visit': 0.05255813953488373, 'Number_of_Visits_per_character': 0.004651162790697638, 'Time_to_entry_saccade': 0.0032558139534883735, 'Number_of_regression': -0.0037209302325581506, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0023255813953488415, 'Percentage_of_adnominal_modification_out_of_total_nouns': -2.2204460492503132e-17, 'Cossim_model6': 0.009302325581395344, 'Norm_model6': 0.010232558139534876}",2025-02-15_17-17-51
rf,"{'Maximum_duration_of_Visit': 0.0, 'Number_of_Visits_per_character': 0.0, 'Time_to_entry_saccade': 0.0, 'Number_of_regression': 0.0, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0, 'Cossim_model6': 0.0, 'Norm_model6': 0.0}",2025-02-15_17-17-51
gb,"{'Maximum_duration_of_Visit': 0.07348837209302325, 'Number_of_Visits_per_character': 0.05720930232558139, 'Time_to_entry_saccade': 0.011627906976744207, 'Number_of_regression': 0.004651162790697683, 'extra_difficult_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.011162790697674407, 'Cossim_model6': 0.06558139534883722, 'Norm_model6': 0.06697674418604652}",2025-02-15_17-17-51
svm,"{'Maximum_duration_of_Visit': 0.10651162790697674, 'Number_of_Visits_per_character': 0.07209302325581395, 'Time_to_entry_saccade': 0.05627906976744183, 'Number_of_regression': 0.07488372093023254, 'extra_difficult_kanzi_words': 0.004651162790697705, 'Percentage_of_regular_difficulty_kanzi_words': 0.043720930232558144, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0697674418604651, 'Cossim_model6': 0.07674418604651163, 'Norm_model6': 0.056744186046511616}",2025-02-15_17-17-51
knn,"{'Maximum_duration_of_Visit': 0.025116279069767454, 'Number_of_Visits_per_character': -0.006511627906976747, 'Time_to_entry_saccade': -0.00046511627906977717, 'Number_of_regression': -0.008837209302325566, 'extra_difficult_kanzi_words': 0.00046511627906977717, 'Percentage_of_regular_difficulty_kanzi_words': 0.00046511627906975495, 'Percentage_of_adnominal_modification_out_of_total_nouns': -0.006046511627906992, 'Cossim_model6': 0.0009302325581395099, 'Norm_model6': -0.007906976744186056}",2025-02-15_17-17-51
