nb,"{'Interest': 0.00046511627906976606, ""readers'_vocabulary"": 0.0013953488372092982, 'Average_duration_of_fixations': 0.00046511627906976606, 'Minimum_duration_of_fixations': 0.0037209302325581506, 'Maximum_duration_of_fixations': 0.0, 'Duration_of_first_fixation': 0.0009302325581395321, 'Average_pupil_diameter': 0.00046511627906976606, 'Average_duration_of_Visit_per_characters': 0.0013953488372092982, 'Minimum_duration_of_Visit': 0.0009302325581395321, 'Maximum_duration_of_Visit': 0.00046511627906976606, 'Number_of_Visits': 0.00046511627906976606, 'Number_of_Visits_per_characters': 0.00046511627906976606, 'Number_of_saccades_in_AOI': 0.0013953488372092982, 'Time_to_entry_saccade': 0.0009302325581395321, 'Time_to_exit_saccade': 0.0, 'Peak_velocity_of_entry_saccade': 0.00046511627906976606, 'Peak_velocity_of_exit_saccade': 0.0023255813953488302, 'First-pass_first_fixation_duration_per_characters': -0.00046511627906976606, 'First-pass_duration': 0.0, 'First-pass_duration_per_characters': 0.0013953488372092982, 'Selective_regression-path_duration': 0.00046511627906976606, 'Regression-path_duration': 0.0023255813953488302, 'Re-reading_duration_per_characters': -0.00046511627906976606, 'Number_of_regression': 0.00046511627906976606, 'Percentage_of_katakana_verb_numerator': 0.0009302325581395321, 'Percentage_of_katakana_noun': 0.0, 'Percentage_of_katakana_noun_numerator': 0.0, 'Number_of_easy_words': 0.0, 'Percentage_of_easy_words': 0.0013953488372092982, 'Percentage_of_kanzi': 0.0, 'Percentage_of_low_difficulty_kanzi_words': 0.0, 'Number_of_low_difficulty_kanzi_words': 0.0, 'Percentage_of_extra_difficulty_kanzi_words': -0.012093023255813939, 'Number_of_extra_difficulty_kanzi_words': -0.014418604651162781, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Number_of_regular_difficulty_kanzi_words': 0.00046511627906976606, 'Percentage_of_high_difficulty_kanzi_words': 0.0013953488372092982, 'Number_of_high_difficulty_kanzi_words': 0.0, 'Percentage_of_low_difficulty_kanzis': 0.0, 'Percentage_of_extra_difficulty_kanzis': -0.027441860465116274, 'Number_of_extra_difficulty_kanzis': -0.03069767441860465, 'Percentage_of_regular_difficulty_kanzis': 0.00046511627906976606, 'Number_of_regular_difficulty_kanzis': 0.0018604651162790642, 'Percentage_of_Chinese_words_verb': -0.0018604651162790642, 'Percentage_of_Chinese_words_noun': 0.0, 'Average_length_of_compund_nouns': 0.0009302325581395321, 'Number_of_characters_of_adnominal_modification': 0.0009302325581395321, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0018604651162790642, 'Number_of_adnominal_modification_out_of_total_nouns': 0.00046511627906976606, 'Percentage_of_frequent_words': 0.0009302325581395321, 'Cossim_model6': 0.0013953488372092982, 'Norm_model6': 0.00046511627906977717, 'Avecossim_model6': -0.0018604651162790642}",2025-01-20_14-13-50
model,PFI,Date
log,"{'Average_duration_of_Visit_per_characters': -0.006511627906976769, 'Maximum_duration_of_Visit': 0.05069767441860462, 'Number_of_Visits_per_characters': 0.002790697674418574, 'Regression-path_duration': -0.00046511627906982157, 'Percentage_of_regular_difficulty_kanzi_words': 0.0032558139534883514}",2025-01-20_14-26-06
rf,"{'Average_duration_of_Visit_per_characters': 0.02139534883720935, 'Maximum_duration_of_Visit': 0.07069767441860468, 'Number_of_Visits_per_characters': 0.02000000000000004, 'Regression-path_duration': 0.010232558139534942, 'Percentage_of_regular_difficulty_kanzi_words': 0.009302325581395387}",2025-01-20_14-26-06
gb,"{'Average_duration_of_Visit_per_characters': 0.1255813953488372, 'Maximum_duration_of_Visit': 0.19720930232558137, 'Number_of_Visits_per_characters': 0.14232558139534884, 'Regression-path_duration': 0.08139534883720931, 'Percentage_of_regular_difficulty_kanzi_words': 0.06465116279069767}",2025-01-20_14-26-06
svm,"{'Average_duration_of_Visit_per_characters': 0.12697674418604646, 'Maximum_duration_of_Visit': 0.17813953488372086, 'Number_of_Visits_per_characters': 0.15627906976744182, 'Regression-path_duration': 0.18837209302325578, 'Percentage_of_regular_difficulty_kanzi_words': 0.1534883720930232}",2025-01-20_14-26-06
knn,"{'Average_duration_of_Visit_per_characters': 0.011627906976744184, 'Maximum_duration_of_Visit': 0.05720930232558137, 'Number_of_Visits_per_characters': 0.019069767441860463, 'Regression-path_duration': 0.013953488372093027, 'Percentage_of_regular_difficulty_kanzi_words': 0.0167441860465116}",2025-01-20_14-26-06
mlp,"{'Average_duration_of_Visit_per_characters': 0.009767441860465142, 'Maximum_duration_of_Visit': 0.07627906976744189, 'Number_of_Visits_per_characters': 0.020465116279069794, 'Regression-path_duration': 0.01023255813953492, 'Percentage_of_regular_difficulty_kanzi_words': 0.014418604651162847}",2025-01-20_14-26-06
nb,"{'Average_duration_of_Visit_per_characters': 0.012093023255813984, 'Maximum_duration_of_Visit': 0.04976744186046515, 'Number_of_Visits_per_characters': 0.014883720930232557, 'Regression-path_duration': 0.010697674418604697, 'Percentage_of_regular_difficulty_kanzi_words': -0.0004651162790697327}",2025-01-20_14-26-06
model,PFI,Date
log,"{'Duration_of_first_fixation': -0.0009302325581394877, 'Maximum_duration_of_Visit': 0.042790697674418635, 'Number_of_Visits_per_characters': 0.0013953488372093093, 'Time_to_entry_saccade': 0.0032558139534883956, 'First-pass_first_fixation_duration_per_characters': -0.006511627906976703, 'Number_of_extra_difficulty_kanzi_words': -0.00046511627906975495, 'Cossim_model6': 0.005581395348837237}",2025-01-20_14-52-21
rf,"{'Duration_of_first_fixation': 0.019534883720930218, 'Maximum_duration_of_Visit': 0.07581395348837208, 'Number_of_Visits_per_characters': 0.039069767441860435, 'Time_to_entry_saccade': 0.020465116279069728, 'First-pass_first_fixation_duration_per_characters': 0.017209302325581377, 'Number_of_extra_difficulty_kanzi_words': 0.0, 'Cossim_model6': 0.03860465116279066}",2025-01-20_14-52-21
gb,"{'Duration_of_first_fixation': 0.025116279069767454, 'Maximum_duration_of_Visit': 0.10186046511627907, 'Number_of_Visits_per_characters': 0.03069767441860465, 'Time_to_entry_saccade': 0.02790697674418603, 'First-pass_first_fixation_duration_per_characters': 0.010232558139534876, 'Number_of_extra_difficulty_kanzi_words': 0.0, 'Cossim_model6': 0.05674418604651164}",2025-01-20_14-52-21
svm,"{'Duration_of_first_fixation': 0.004651162790697616, 'Maximum_duration_of_Visit': 0.013953488372092981, 'Number_of_Visits_per_characters': 0.0, 'Time_to_entry_saccade': 0.002790697674418552, 'First-pass_first_fixation_duration_per_characters': 0.0, 'Number_of_extra_difficulty_kanzi_words': 0.0, 'Cossim_model6': 0.0013953488372092648}",2025-01-20_14-52-21
knn,"{'Duration_of_first_fixation': 0.008372093023255766, 'Maximum_duration_of_Visit': 0.05209302325581391, 'Number_of_Visits_per_characters': 0.020465116279069728, 'Time_to_entry_saccade': 0.021395348837209262, 'First-pass_first_fixation_duration_per_characters': 0.014418604651162759, 'Number_of_extra_difficulty_kanzi_words': 0.0013953488372092648, 'Cossim_model6': 0.029302325581395294}",2025-01-20_14-52-21
mlp,"{'Duration_of_first_fixation': 0.009302325581395344, 'Maximum_duration_of_Visit': 0.06372093023255816, 'Number_of_Visits_per_characters': 0.014418604651162802, 'Time_to_entry_saccade': 0.01395348837209307, 'First-pass_first_fixation_duration_per_characters': 0.011162790697674407, 'Number_of_extra_difficulty_kanzi_words': -0.00046511627906975495, 'Cossim_model6': 0.008372093023255834}",2025-01-20_14-52-21
nb,"{'Duration_of_first_fixation': 0.01162790697674423, 'Maximum_duration_of_Visit': 0.06790697674418607, 'Number_of_Visits_per_characters': 0.012558139534883762, 'Time_to_entry_saccade': 0.0013953488372093314, 'First-pass_first_fixation_duration_per_characters': 0.010232558139534942, 'Number_of_extra_difficulty_kanzi_words': -0.0013953488372092648, 'Cossim_model6': -0.0009302325581395099}",2025-01-20_14-52-21
model,PFI,Date
log,"{'Maximum_duration_of_Visit': 0.0576744186046511, 'Peak_velocity_of_entry_saccade': -0.0018604651162791087, 'Number_of_extra_difficulty_kanzi_words': 0.001395348837209287, 'Number_of_extra_difficulty_kanzis': 0.004186046511627861, 'Percentage_of_regular_difficulty_kanzis': 0.009302325581395298, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0004651162790697327, 'Number_of_adnominal_modification_out_of_total_nouns': 0.0009302325581394877}",2025-01-20_15-26-46
rf,"{'Maximum_duration_of_Visit': 0.06186046511627903, 'Peak_velocity_of_entry_saccade': 0.002790697674418552, 'Number_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_extra_difficulty_kanzis': 0.0, 'Percentage_of_regular_difficulty_kanzis': 0.012093023255813939, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.008837209302325566, 'Number_of_adnominal_modification_out_of_total_nouns': -0.00046511627906979934}",2025-01-20_15-26-46
gb,"{'Maximum_duration_of_Visit': 0.21720930232558144, 'Peak_velocity_of_entry_saccade': 0.14139534883720933, 'Number_of_extra_difficulty_kanzi_words': 0.0, 'Number_of_extra_difficulty_kanzis': 0.0018604651162790864, 'Percentage_of_regular_difficulty_kanzis': 0.08976744186046512, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.09209302325581399, 'Number_of_adnominal_modification_out_of_total_nouns': 0.0246511627906977}",2025-01-20_15-26-46
svm,"{'Maximum_duration_of_Visit': 0.2367441860465116, 'Peak_velocity_of_entry_saccade': 0.2395348837209302, 'Number_of_extra_difficulty_kanzi_words': 0.005116279069767438, 'Number_of_extra_difficulty_kanzis': 0.022325581395348838, 'Percentage_of_regular_difficulty_kanzis': 0.1753488372093023, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.21255813953488367, 'Number_of_adnominal_modification_out_of_total_nouns': 0.1925581395348837}",2025-01-20_15-26-46
knn,"{'Maximum_duration_of_Visit': 0.042790697674418544, 'Peak_velocity_of_entry_saccade': 0.013023255813953449, 'Number_of_extra_difficulty_kanzi_words': 0.00046511627906975495, 'Number_of_extra_difficulty_kanzis': 0.001395348837209287, 'Percentage_of_regular_difficulty_kanzis': 0.012558139534883671, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.005116279069767415, 'Number_of_adnominal_modification_out_of_total_nouns': 0.0037209302325581064}",2025-01-20_15-26-46
mlp,"{'Maximum_duration_of_Visit': 0.07209302325581393, 'Peak_velocity_of_entry_saccade': 0.009767441860465076, 'Number_of_extra_difficulty_kanzi_words': 0.00046511627906975495, 'Number_of_extra_difficulty_kanzis': 0.0041860465116279055, 'Percentage_of_regular_difficulty_kanzis': 0.007906976744186011, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.012093023255813939, 'Number_of_adnominal_modification_out_of_total_nouns': 0.010232558139534897}",2025-01-20_15-26-46
nb,"{'Maximum_duration_of_Visit': 0.012093023255813995, 'Peak_velocity_of_entry_saccade': 0.011162790697674474, 'Number_of_extra_difficulty_kanzi_words': -0.007906976744186011, 'Number_of_extra_difficulty_kanzis': -0.005581395348837148, 'Percentage_of_regular_difficulty_kanzis': 0.0423255813953489, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.01534883720930239, 'Number_of_adnominal_modification_out_of_total_nouns': 0.020465116279069818}",2025-01-20_15-26-46
model,PFI,Date
log,"{'Maximum_duration_of_Visit': 0.06232558139534883, 'Percentage_of_extra_difficulty_kanzis': 0.0037209302325581506, 'Percentage_of_regular_difficulty_kanzis': 0.010697674418604652}",2025-01-20_16-07-01
rf,"{'Maximum_duration_of_Visit': 0.06418604651162793, 'Percentage_of_extra_difficulty_kanzis': 0.005581395348837259, 'Percentage_of_regular_difficulty_kanzis': 0.014883720930232602}",2025-01-20_16-07-01
gb,"{'Maximum_duration_of_Visit': 0.2944186046511629, 'Percentage_of_extra_difficulty_kanzis': 0.012558139534883762, 'Percentage_of_regular_difficulty_kanzis': 0.12232558139534891}",2025-01-20_16-07-01
svm,"{'Maximum_duration_of_Visit': 0.07488372093023252, 'Percentage_of_extra_difficulty_kanzis': 0.016279069767441846, 'Percentage_of_regular_difficulty_kanzis': 0.04232558139534883}",2025-01-20_16-07-01
knn,"{'Maximum_duration_of_Visit': 0.06837209302325584, 'Percentage_of_extra_difficulty_kanzis': 0.004651162790697683, 'Percentage_of_regular_difficulty_kanzis': 0.026976744186046543}",2025-01-20_16-07-01
mlp,"{'Maximum_duration_of_Visit': 0.07209302325581399, 'Percentage_of_extra_difficulty_kanzis': 0.004651162790697749, 'Percentage_of_regular_difficulty_kanzis': 0.014883720930232602}",2025-01-20_16-07-01
nb,"{'Maximum_duration_of_Visit': 0.07302325581395348, 'Percentage_of_extra_difficulty_kanzis': 0.006511627906976747, 'Percentage_of_regular_difficulty_kanzis': -0.008837209302325566}",2025-01-20_16-07-01
model,PFI,Date
log,"{'Average_duration_of_Visit_per_characters': -0.005581395348837259, 'Maximum_duration_of_Visit': 0.07302325581395341, 'Number_of_Visits_per_characters': 0.004186046511627883, 'Number_of_saccades_in_AOI': -0.005116279069767504, 'Time_to_entry_saccade': 0.011162790697674363, 'Number_of_regression': -0.0023255813953488857, 'Number_of_extra_difficulty_kanzi_words': 0.0032558139534883514, 'Percentage_of_regular_difficulty_kanzi_words': 0.002325581395348797, 'Number_of_extra_difficulty_kanzis': 0.008372093023255745, 'Number_of_adnominal_modification_out_of_total_nouns': -0.0013953488372093759, 'Norm_model6': 0.003255813953488329}",2025-01-20_16-24-03
rf,"{'Average_duration_of_Visit_per_characters': 0.020000000000000018, 'Maximum_duration_of_Visit': 0.0562790697674419, 'Number_of_Visits_per_characters': 0.043720930232558165, 'Number_of_saccades_in_AOI': 0.02837209302325585, 'Time_to_entry_saccade': 0.013023255813953517, 'Number_of_regression': 0.006511627906976747, 'Number_of_extra_difficulty_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.013953488372093047, 'Number_of_extra_difficulty_kanzis': 0.0, 'Number_of_adnominal_modification_out_of_total_nouns': 0.005581395348837215, 'Norm_model6': 0.04046511627906979}",2025-01-20_16-24-03
gb,"{'Average_duration_of_Visit_per_characters': 0.02604651162790701, 'Maximum_duration_of_Visit': 0.04697674418604651, 'Number_of_Visits_per_characters': 0.046511627906976716, 'Number_of_saccades_in_AOI': 0.010697674418604652, 'Time_to_entry_saccade': 0.008837209302325589, 'Number_of_regression': 0.0, 'Number_of_extra_difficulty_kanzi_words': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0009302325581395543, 'Number_of_extra_difficulty_kanzis': 0.0, 'Number_of_adnominal_modification_out_of_total_nouns': 0.0, 'Norm_model6': 0.05534883720930232}",2025-01-20_16-24-03
svm,"{'Average_duration_of_Visit_per_characters': 0.05674418604651166, 'Maximum_duration_of_Visit': 0.0855813953488372, 'Number_of_Visits_per_characters': 0.08372093023255815, 'Number_of_saccades_in_AOI': 0.09674418604651165, 'Time_to_entry_saccade': 0.05953488372093023, 'Number_of_regression': 0.08790697674418606, 'Number_of_extra_difficulty_kanzi_words': 0.009302325581395366, 'Percentage_of_regular_difficulty_kanzi_words': 0.04232558139534885, 'Number_of_extra_difficulty_kanzis': 0.018139534883720953, 'Number_of_adnominal_modification_out_of_total_nouns': 0.07767441860465116, 'Norm_model6': 0.041860465116279076}",2025-01-20_16-24-03
knn,"{'Average_duration_of_Visit_per_characters': 0.0027906976744186407, 'Maximum_duration_of_Visit': 0.038139534883720974, 'Number_of_Visits_per_characters': 0.012093023255814007, 'Number_of_saccades_in_AOI': 0.022790697674418613, 'Time_to_entry_saccade': 0.01162790697674423, 'Number_of_regression': 0.016744186046511667, 'Number_of_extra_difficulty_kanzi_words': 0.00046511627906979934, 'Percentage_of_regular_difficulty_kanzi_words': 0.011162790697674452, 'Number_of_extra_difficulty_kanzis': 0.00511627906976746, 'Number_of_adnominal_modification_out_of_total_nouns': 0.01255813953488374, 'Norm_model6': 0.007906976744186101}",2025-01-20_16-24-03
mlp,"{'Average_duration_of_Visit_per_characters': 0.08651162790697668, 'Maximum_duration_of_Visit': 0.11488372093023251, 'Number_of_Visits_per_characters': 0.10883720930232552, 'Number_of_saccades_in_AOI': 0.13581395348837205, 'Time_to_entry_saccade': 0.1288372093023255, 'Number_of_regression': 0.12976744186046504, 'Number_of_extra_difficulty_kanzi_words': 0.010697674418604586, 'Percentage_of_regular_difficulty_kanzi_words': 0.07302325581395346, 'Number_of_extra_difficulty_kanzis': 0.02744186046511623, 'Number_of_adnominal_modification_out_of_total_nouns': 0.14232558139534876, 'Norm_model6': 0.1037209302325581}",2025-01-20_16-24-03
nb,"{'Average_duration_of_Visit_per_characters': 0.0065116279069767245, 'Maximum_duration_of_Visit': 0.04465116279069763, 'Number_of_Visits_per_characters': 0.007441860465116257, 'Number_of_saccades_in_AOI': 0.040930232558139504, 'Time_to_entry_saccade': 0.00046511627906975495, 'Number_of_regression': 0.028372093023255808, 'Number_of_extra_difficulty_kanzi_words': -0.0037209302325581727, 'Percentage_of_regular_difficulty_kanzi_words': 0.007906976744186011, 'Number_of_extra_difficulty_kanzis': 0.002325581395348819, 'Number_of_adnominal_modification_out_of_total_nouns': 0.005116279069767415, 'Norm_model6': 0.01162790697674414}",2025-01-20_16-24-03
model,PFI,Date
log,"{'Average_duration_of_Visit_per_characters': 0.0032558139534883956, 'Maximum_duration_of_Visit': 0.05813953488372094, 'Number_of_Visits_per_characters': 0.013488372093023272, 'Regression-path_duration': -0.0004651162790697327, 'Percentage_of_regular_difficulty_kanzi_words': 0.009302325581395387, 'Number_of_regular_difficulty_kanzi_words': 0.00046511627906977717, 'Average_length_of_compund_nouns': 0.00046511627906977717, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.006976744186046524}",2025-01-20_17-47-22
rf,"{'Average_duration_of_Visit_per_characters': 0.020465116279069773, 'Maximum_duration_of_Visit': 0.05813953488372094, 'Number_of_Visits_per_characters': 0.013488372093023272, 'Regression-path_duration': 0.006511627906976747, 'Percentage_of_regular_difficulty_kanzi_words': 0.008837209302325611, 'Number_of_regular_difficulty_kanzi_words': -0.00046511627906979934, 'Average_length_of_compund_nouns': 0.007441860465116301, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.009302325581395344}",2025-01-20_17-47-22
gb,"{'Average_duration_of_Visit_per_characters': 0.07069767441860467, 'Maximum_duration_of_Visit': 0.0916279069767442, 'Number_of_Visits_per_characters': 0.08976744186046512, 'Regression-path_duration': 0.014418604651162759, 'Percentage_of_regular_difficulty_kanzi_words': 0.0060465116279069695, 'Number_of_regular_difficulty_kanzi_words': 0.0, 'Average_length_of_compund_nouns': 0.02186046511627906, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.019069767441860487}",2025-01-20_17-47-22
svm,"{'Average_duration_of_Visit_per_characters': 0.033953488372093, 'Maximum_duration_of_Visit': 0.07720930232558135, 'Number_of_Visits_per_characters': 0.08930232558139532, 'Regression-path_duration': 0.05720930232558137, 'Percentage_of_regular_difficulty_kanzi_words': 0.0581395348837209, 'Number_of_regular_difficulty_kanzi_words': 0.05581395348837206, 'Average_length_of_compund_nouns': 0.05906976744186041, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.05581395348837206}",2025-01-20_17-47-22
knn,"{'Average_duration_of_Visit_per_characters': 0.0018604651162790642, 'Maximum_duration_of_Visit': 0.011162790697674407, 'Number_of_Visits_per_characters': 0.008837209302325589, 'Regression-path_duration': -0.006976744186046502, 'Percentage_of_regular_difficulty_kanzi_words': -0.00046511627906975495, 'Number_of_regular_difficulty_kanzi_words': 0.0009302325581395543, 'Average_length_of_compund_nouns': 0.004186046511627928, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0032558139534883956}",2025-01-20_17-47-22
mlp,"{'Average_duration_of_Visit_per_characters': 0.020465116279069794, 'Maximum_duration_of_Visit': 0.07348837209302325, 'Number_of_Visits_per_characters': 0.07255813953488369, 'Regression-path_duration': 0.022790697674418593, 'Percentage_of_regular_difficulty_kanzi_words': 0.04883720930232558, 'Number_of_regular_difficulty_kanzi_words': 0.050232558139534866, 'Average_length_of_compund_nouns': 0.030232558139534894, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.025116279069767433}",2025-01-20_17-47-22
model,PFI,Date
log,"{'Average_duration_of_Visit_per_characters': 0.004651162790697616, 'Maximum_duration_of_Visit': 0.05162790697674415, 'Number_of_Visits_per_characters': 0.008372093023255766, 'Time_to_entry_saccade': 0.008372093023255789, 'Selective_regression-path_duration': 0.005116279069767393, 'Percentage_of_katakana_verb_numerator': 0.00046511627906975495, 'Percentage_of_katakana_noun_numerator': -4.4408920985006264e-17, 'Percentage_of_regular_difficulty_kanzi_words': 0.003255813953488329, 'Number_of_regular_difficulty_kanzi_words': 0.0023255813953487747, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0037209302325581064}",2025-01-20_18-23-52
rf,"{'Average_duration_of_Visit_per_characters': 0.0, 'Maximum_duration_of_Visit': 0.0, 'Number_of_Visits_per_characters': 0.0, 'Time_to_entry_saccade': 0.0, 'Selective_regression-path_duration': 0.0, 'Percentage_of_katakana_verb_numerator': 0.0, 'Percentage_of_katakana_noun_numerator': 0.0, 'Percentage_of_regular_difficulty_kanzi_words': 0.0, 'Number_of_regular_difficulty_kanzi_words': 0.0, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.0}",2025-01-20_18-23-52
gb,"{'Average_duration_of_Visit_per_characters': 0.029767441860465114, 'Maximum_duration_of_Visit': 0.1372093023255814, 'Number_of_Visits_per_characters': 0.07906976744186048, 'Time_to_entry_saccade': 0.04976744186046513, 'Selective_regression-path_duration': 0.015813953488372133, 'Percentage_of_katakana_verb_numerator': 0.0, 'Percentage_of_katakana_noun_numerator': 0.025116279069767454, 'Percentage_of_regular_difficulty_kanzi_words': 0.019069767441860463, 'Number_of_regular_difficulty_kanzi_words': 0.0037209302325581727, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.025116279069767433}",2025-01-20_18-23-52
svm,"{'Average_duration_of_Visit_per_characters': 0.03488372093023251, 'Maximum_duration_of_Visit': 0.107906976744186, 'Number_of_Visits_per_characters': 0.08558139534883717, 'Time_to_entry_saccade': 0.09395348837209298, 'Selective_regression-path_duration': 0.08837209302325577, 'Percentage_of_katakana_verb_numerator': 0.0037209302325581064, 'Percentage_of_katakana_noun_numerator': 0.0511627906976744, 'Percentage_of_regular_difficulty_kanzi_words': 0.051162790697674376, 'Number_of_regular_difficulty_kanzi_words': 0.05813953488372088, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.07581395348837203}",2025-01-20_18-23-52
knn,"{'Average_duration_of_Visit_per_characters': 0.008837209302325589, 'Maximum_duration_of_Visit': 0.050232558139534846, 'Number_of_Visits_per_characters': 0.025581395348837233, 'Time_to_entry_saccade': 0.017674418604651132, 'Selective_regression-path_duration': 0.026976744186046498, 'Percentage_of_katakana_verb_numerator': 0.00046511627906975495, 'Percentage_of_katakana_noun_numerator': 0.006046511627906948, 'Percentage_of_regular_difficulty_kanzi_words': 0.01116279069767443, 'Number_of_regular_difficulty_kanzi_words': 0.005116279069767438, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.019999999999999997}",2025-01-20_18-23-52
mlp,"{'Average_duration_of_Visit_per_characters': 0.015813953488372133, 'Maximum_duration_of_Visit': 0.06790697674418604, 'Number_of_Visits_per_characters': 0.04604651162790703, 'Time_to_entry_saccade': 0.042790697674418635, 'Selective_regression-path_duration': 0.020000000000000018, 'Percentage_of_katakana_verb_numerator': 0.0027906976744186407, 'Percentage_of_katakana_noun_numerator': 0.02837209302325583, 'Percentage_of_regular_difficulty_kanzi_words': 0.015348837209302335, 'Number_of_regular_difficulty_kanzi_words': 0.021395348837209373, 'Percentage_of_adnominal_modification_out_of_total_nouns': 0.022790697674418638}",2025-01-20_18-23-52
model,PFI,Date
log,"{'Duration_of_first_fixation': 0.0, 'Maximum_duration_of_Visit': 0.06279069767441861, 'Number_of_Visits_per_characters': 0.006046511627906992, 'Number_of_saccades_in_AOI': -0.0009302325581395543, 'Time_to_entry_saccade': -0.00046511627906977717, 'Time_to_exit_saccade': 0.0046511627906976605, 'Percentage_of_katakana_verb_numerator': 0.00046511627906977717, 'Number_of_regular_difficulty_kanzis': 0.006046511627906992, 'Norm_model6': 0.010697674418604631}",2025-01-20_19-00-12
rf,"{'Duration_of_first_fixation': 0.0, 'Maximum_duration_of_Visit': 0.0, 'Number_of_Visits_per_characters': 0.0, 'Number_of_saccades_in_AOI': 0.0, 'Time_to_entry_saccade': 0.0, 'Time_to_exit_saccade': 0.0, 'Percentage_of_katakana_verb_numerator': 0.0, 'Number_of_regular_difficulty_kanzis': 0.0, 'Norm_model6': 0.0}",2025-01-20_19-00-12
gb,"{'Duration_of_first_fixation': 0.03302325581395347, 'Maximum_duration_of_Visit': 0.08279069767441863, 'Number_of_Visits_per_characters': 0.05627906976744186, 'Number_of_saccades_in_AOI': 0.0386046511627907, 'Time_to_entry_saccade': 0.04046511627906979, 'Time_to_exit_saccade': 0.018604651162790732, 'Percentage_of_katakana_verb_numerator': 0.0, 'Number_of_regular_difficulty_kanzis': 0.008372093023255811, 'Norm_model6': 0.09441860465116281}",2025-01-20_19-00-12
svm,"{'Duration_of_first_fixation': 0.1172093023255814, 'Maximum_duration_of_Visit': 0.14511627906976743, 'Number_of_Visits_per_characters': 0.10697674418604652, 'Number_of_saccades_in_AOI': 0.12930232558139537, 'Time_to_entry_saccade': 0.13395348837209303, 'Time_to_exit_saccade': 0.12046511627906978, 'Percentage_of_katakana_verb_numerator': 0.00046511627906977717, 'Number_of_regular_difficulty_kanzis': 0.12930232558139537, 'Norm_model6': 0.12976744186046513}",2025-01-20_19-00-12
knn,"{'Duration_of_first_fixation': 0.03674418604651168, 'Maximum_duration_of_Visit': 0.06883720930232562, 'Number_of_Visits_per_characters': 0.033488372093023265, 'Number_of_saccades_in_AOI': 0.033488372093023314, 'Time_to_entry_saccade': 0.020000000000000018, 'Time_to_exit_saccade': 0.020930232558139573, 'Percentage_of_katakana_verb_numerator': 0.0, 'Number_of_regular_difficulty_kanzis': 0.020930232558139573, 'Norm_model6': 0.037209302325581464}",2025-01-20_19-00-12
mlp,"{'Duration_of_first_fixation': 0.02093023255813955, 'Maximum_duration_of_Visit': 0.0813953488372093, 'Number_of_Visits_per_characters': 0.021395348837209328, 'Number_of_saccades_in_AOI': 0.04139534883720932, 'Time_to_entry_saccade': 0.02232558139534886, 'Time_to_exit_saccade': 0.023255813953488393, 'Percentage_of_katakana_verb_numerator': 0.0027906976744186407, 'Number_of_regular_difficulty_kanzis': 0.015813953488372112, 'Norm_model6': 0.02790697674418603}",2025-01-20_19-00-12
model,PFI,Date
